								18SV4			petB	
Date	Lat	Long	Station	Cycle	CTD	Depth (m)	Depth	Sample name	NCBI BioProject		Sample name	NCBI BioProject
2018-10-26	-44.60	174.21	24	SA1	U9106	12	SUR				CTD-NpetB-129	PRJNA885274
2018-10-26	-44.60	174.21	24	SA1	U9106	40	DCM				CTD-NpetB-132	PRJNA885274
2018-10-27	-44.51	174.12	39	SA1	U9109	12	SUR	CTD-18S-214			CTD-NpetB-214	PRJNA885274
2018-10-27	-44.51	174.12	39	SA1	U9109	40	DCM	CTD-18S-217			CTD-NpetB-217	PRJNA885274
2018-10-29	-44.56	174.11	69	SA1	U9115	12	SUR	CTD-18S-220			CTD-NpetB-220	PRJNA885274
2018-10-29	-44.56	174.11	69	SA1	U9115	40	DCM	CTD-18S-223			CTD-NpetB-223	PRJNA885274
2018-11-02	-44.56	178.48	137	SA2	U9125	12	SUR	TAN1810_Sample2Stn137U9125MetaB0-2	PRJNA670061		CTD-NpetB-141	PRJNA885274
2018-11-02	-44.56	178.48	137	SA2	U9125	40	DCM	TAN1810_Sample5Stn137U9125MetaB0-2	PRJNA670061		CTD-NpetB-144	PRJNA885274
2018-11-06	-44.54	179.49	188	SA2	U9136	12	SUR	TAN1810_Sample2Stn188U9136MetaB0-2	PRJNA670061		CTD-NpetB-147	PRJNA885274
2018-11-06	-44.54	179.49	188	SA2	U9136	40	DCM	TAN1810_Sample5Stn188U9136MetaB0-2	PRJNA670061		CTD-NpetB-150	PRJNA885274
2018-11-07	-42.66	178.00	193	ST1	U9138	12	SUR	TAN1810_Sample2Stn193U9138MetaB0-2	PRJNA670061		CTD-NpetB-153	PRJNA885274
2018-11-07	-42.66	178.00	193	ST1	U9138	30	DCM	TAN1810_Sample5Stn193U9138MetaB0-2	PRJNA670061		CTD-NpetB-156	PRJNA885274
2018-11-10	-42.78	178.40	239	ST1	U9148	12	SUR	TAN1810_Sample2Stn239U9148MetaB0-2	PRJNA670061		CTD-NpetB-159	PRJNA885274
2018-11-10	-42.78	178.40	239	ST1	U9148	40	DCM	TAN1810_Sample5Stn239U9148MetaB0-2	PRJNA670061		CTD-NpetB-162	PRJNA885274
2018-11-12	-43.50	179.80	266	ST2	U9149	12	SUR	TAN1810_Sample2Stn266U9149MetaB0-2	PRJNA670061		CTD-NpetB-165	PRJNA885274
2018-11-12	-43.50	179.80	266	ST2	U9149	40	DCM	TAN1810_Sample5Stn266U9149MetaB0-2	PRJNA670061		CTD-NpetB-168	PRJNA885274
2018-11-15	-43.72	179.86	316	ST2	U9159	12	SUR	TAN1810_Sample2Stn316U9159MetaB0-2	PRJNA670061		CTD-NpetB-171	PRJNA885274
2018-11-15	-43.72	179.86	316	ST2	U9159	40	DCM	TAN1810_Sample5Stn316U9159MetaB0-2	PRJNA670061		CTD-NpetB-174	PRJNA885274
2018-11-16	-45.56	179.52	324	SA3	U9161	12	SUR	TAN1810_Sample2Stn324U9161MetaB0-2	PRJNA670061		CTD-NpetB-177	PRJNA885274
2018-11-16	-45.56	179.52	324	SA3	U9161	70	DCM	TAN1810_Sample5Stn324U9161MetaB0-2	PRJNA670061		CTD-NpetB-180	PRJNA885274
2018-11-19	-45.48	179.69	371	SA3	U9171	12	SUR	TAN1810_Sample2Stn371U9171MetaB0-2	PRJNA670061		CTD-NpetB-182	PRJNA885274
2018-11-19	-45.48	179.69	371	SA3	U9171	60	DCM	TAN1810_Sample5Stn371U9171MetaB0-2	PRJNA670061		CTD-NpetB-185	PRJNA885274
