asv_code	file_code	n_reads
asv_0D3_00001	CTD-petB-128	1495
asv_0D3_00002	CTD-petB-128	558
asv_0D3_00003	CTD-petB-128	313
asv_0D3_00004	CTD-petB-128	535
asv_0D3_00005	CTD-petB-128	1660
asv_0D3_00006	CTD-petB-128	792
asv_0D3_00007	CTD-petB-128	318
asv_0D3_00008	CTD-petB-128	125
asv_0D3_00009	CTD-petB-128	750
asv_0D3_00010	CTD-petB-128	956
asv_0D3_00011	CTD-petB-128	494
asv_0D3_00012	CTD-petB-128	454
asv_0D3_00013	CTD-petB-128	293
asv_0D3_00014	CTD-petB-128	374
asv_0D3_00015	CTD-petB-128	58
asv_0D3_00016	CTD-petB-128	171
asv_0D3_00017	CTD-petB-128	190
asv_0D3_00018	CTD-petB-128	341
asv_0D3_00019	CTD-petB-128	557
asv_0D3_00020	CTD-petB-128	89
asv_0D3_00021	CTD-petB-128	199
asv_0D3_00023	CTD-petB-128	276
asv_0D3_00024	CTD-petB-128	273
asv_0D3_00025	CTD-petB-128	340
asv_0D3_00026	CTD-petB-128	156
asv_0D3_00027	CTD-petB-128	278
asv_0D3_00028	CTD-petB-128	268
asv_0D3_00029	CTD-petB-128	330
asv_0D3_00030	CTD-petB-128	63
asv_0D3_00031	CTD-petB-128	318
asv_0D3_00032	CTD-petB-128	208
asv_0D3_00033	CTD-petB-128	224
asv_0D3_00034	CTD-petB-128	218
asv_0D3_00035	CTD-petB-128	284
asv_0D3_00036	CTD-petB-128	144
asv_0D3_00037	CTD-petB-128	237
asv_0D3_00038	CTD-petB-128	103
asv_0D3_00039	CTD-petB-128	168
asv_0D3_00040	CTD-petB-128	41
asv_0D3_00041	CTD-petB-128	111
asv_0D3_00042	CTD-petB-128	57
asv_0D3_00043	CTD-petB-128	274
asv_0D3_00044	CTD-petB-128	131
asv_0D3_00045	CTD-petB-128	144
asv_0D3_00046	CTD-petB-128	173
asv_0D3_00047	CTD-petB-128	91
asv_0D3_00048	CTD-petB-128	119
asv_0D3_00049	CTD-petB-128	49
asv_0D3_00050	CTD-petB-128	85
asv_0D3_00051	CTD-petB-128	181
asv_0D3_00052	CTD-petB-128	76
asv_0D3_00053	CTD-petB-128	63
asv_0D3_00054	CTD-petB-128	204
asv_0D3_00055	CTD-petB-128	99
asv_0D3_00056	CTD-petB-128	197
asv_0D3_00057	CTD-petB-128	144
asv_0D3_00058	CTD-petB-128	52
asv_0D3_00059	CTD-petB-128	157
asv_0D3_00060	CTD-petB-128	137
asv_0D3_00061	CTD-petB-128	71
asv_0D3_00062	CTD-petB-128	194
asv_0D3_00063	CTD-petB-128	113
asv_0D3_00064	CTD-petB-128	112
asv_0D3_00066	CTD-petB-128	145
asv_0D3_00067	CTD-petB-128	123
asv_0D3_00069	CTD-petB-128	56
asv_0D3_00070	CTD-petB-128	125
asv_0D3_00072	CTD-petB-128	23
asv_0D3_00073	CTD-petB-128	66
asv_0D3_00074	CTD-petB-128	112
asv_0D3_00076	CTD-petB-128	160
asv_0D3_00078	CTD-petB-128	117
asv_0D3_00079	CTD-petB-128	145
asv_0D3_00080	CTD-petB-128	161
asv_0D3_00082	CTD-petB-128	165
asv_0D3_00083	CTD-petB-128	110
asv_0D3_00084	CTD-petB-128	57
asv_0D3_00085	CTD-petB-128	61
asv_0D3_00086	CTD-petB-128	206
asv_0D3_00088	CTD-petB-128	99
asv_0D3_00089	CTD-petB-128	43
asv_0D3_00091	CTD-petB-128	125
asv_0D3_00092	CTD-petB-128	61
asv_0D3_00093	CTD-petB-128	31
asv_0D3_00095	CTD-petB-128	73
asv_0D3_00096	CTD-petB-128	174
asv_0D3_00097	CTD-petB-128	107
asv_0D3_00099	CTD-petB-128	68
asv_0D3_00100	CTD-petB-128	45
asv_0D3_00102	CTD-petB-128	22
asv_0D3_00103	CTD-petB-128	87
asv_0D3_00105	CTD-petB-128	100
asv_0D3_00106	CTD-petB-128	59
asv_0D3_00107	CTD-petB-128	21
asv_0D3_00109	CTD-petB-128	186
asv_0D3_00110	CTD-petB-128	63
asv_0D3_00111	CTD-petB-128	54
asv_0D3_00112	CTD-petB-128	54
asv_0D3_00113	CTD-petB-128	114
asv_0D3_00114	CTD-petB-128	81
asv_0D3_00116	CTD-petB-128	56
asv_0D3_00117	CTD-petB-128	13
asv_0D3_00120	CTD-petB-128	172
asv_0D3_00121	CTD-petB-128	13
