reads.in	reads.out
45540	11566
38133	13375
34678	7997
38323	11948
50554	17829
44032	14332
37405	10672
40796	10071
37527	10272
39758	11507
41887	12973
37297	10430
42878	12005
40653	11029
39465	11065
44908	12457
40122	11128
42913	11048
45753	12076
31691	6206
37219	10534
41230	11965
36557	9510
41972	11996
33823	9444
41237	11704
39761	9895
42069	10650
38077	10413
41666	11122
35155	9550
44352	12048
38037	10580
43838	11941
45540	12923
35200	8836
41551	11026
43625	12842
40075	10502
41538	11528
34922	9795
38481	10910
42059	12617
43321	12557
34617	9192
45313	12125
35881	10720
44516	15183
42389	13133
43781	11909
43555	12269
36729	10849
37424	10533
38504	12266
34094	10434
42363	11474
44770	11151
39654	10699
44010	12279
42336	10589
40501	10993
41959	14440
37356	10905
41855	11863
42909	15434
46468	14813
45292	15118
39462	10705
38291	10338
38533	9806
44247	15122
44390	7522
45095	6741
42183	3932
38095	6187
37963	4654
54675	10128
45921	6625
51756	6062
43080	7442
44820	8142
39574	9248
41157	24393
45918	19432
43739	8214
45197	9614
41107	5101
40737	7269
51573	7595
42243	4828
43919	6203
44533	7933
44056	6241
42342	5329
54993	6799
43334	6706
50979	7677
47191	6098
42018	4970
49258	7260
50197	6118
47998	7095
44374	6324
43975	8096
47596	7442
49824	7210
48328	4560
50327	7232
46978	7171
45015	7720
41892	28283
34918	8435
43330	11328
38146	9524
49185	11438
49560	13951
51189	11883
57079	14669
49204	14480
45296	11704
46086	11802
47914	30597
56490	14659
48455	13276
41678	10458
52541	13901
40199	11550
44400	11825
43323	11295
45325	13423
48982	12436
49677	12744
44935	10664
48426	13609
38797	9934
48404	15447
44777	12865
47073	13629
45757	11877
48277	11379
47984	12878
48903	11951
43986	12029
45358	12717
44182	11723
52082	15163
45285	14319
48540	16068
45929	15081
47530	15773
47138	13965
48682	12021
48532	13121
53713	13036
50952	14367
201	38
