cutadapt	filtered	denoised	tabled	nonchim	file_code
37170	32141	31257	31257	25319	CTD-NpetB-128
37553	33907	33640	33640	25671	CTD-NpetB-129
25645	21692	20905	20905	17366	CTD-NpetB-130
36881	33380	33018	33018	27439	CTD-NpetB-131
50524	45425	44904	44904	36587	CTD-NpetB-132
42306	38519	38027	38027	29603	CTD-NpetB-133
30645	26540	25681	25681	21952	CTD-NpetB-134
33855	29475	28782	28782	24371	CTD-NpetB-135
32116	27489	26627	26627	22748	CTD-NpetB-136
35147	31160	30418	30418	24771	CTD-NpetB-137
37689	33850	33162	33162	27688	CTD-NpetB-138
33975	30545	29827	29827	25423	CTD-NpetB-139
35305	30933	30267	30267	25359	CTD-NpetB-140
34482	28995	28369	28369	22984	CTD-NpetB-141
33801	30075	29522	29522	24362	CTD-NpetB-142
38909	33010	32370	32370	26412	CTD-NpetB-143
32793	28919	28204	28204	23298	CTD-NpetB-144
34030	29182	28527	28527	23203	CTD-NpetB-145
36576	31626	30696	30696	25465	CTD-NpetB-146
25229	20913	20134	20134	15514	CTD-NpetB-147
30315	26290	25650	25650	21898	CTD-NpetB-148
34335	29778	29103	29103	24147	CTD-NpetB-149
29052	24917	24199	24199	20468	CTD-NpetB-150
34187	29408	28722	28722	23390	CTD-NpetB-151
27020	23134	22411	22411	18454	CTD-NpetB-152
34709	29240	28266	28266	21693	CTD-NpetB-153
31077	26364	25461	25461	20727	CTD-NpetB-154
33477	28061	27331	27331	21225	CTD-NpetB-155
29892	25857	25077	25077	19560	CTD-NpetB-156
33537	28805	28108	28108	22000	CTD-NpetB-157
28602	24709	23831	23831	19508	CTD-NpetB-158
37502	31473	30413	30413	24250	CTD-NpetB-159
30506	26179	25351	25351	20151	CTD-NpetB-160
34676	29397	28525	28525	22470	CTD-NpetB-161
37947	33274	32310	32310	25798	CTD-NpetB-162
29241	25067	24504	24504	19542	CTD-NpetB-163
35939	30113	29006	29006	24612	CTD-NpetB-164
37230	32652	31564	31564	26573	CTD-NpetB-165
32671	28492	27366	27366	22501	CTD-NpetB-166
35161	30762	29805	29805	24388	CTD-NpetB-167
30129	25667	24705	24705	21201	CTD-NpetB-168
33436	29677	28617	28617	24857	CTD-NpetB-169
35865	31710	30676	30676	25365	CTD-NpetB-170
36355	31403	30335	30335	25923	CTD-NpetB-171
27351	23595	22646	22646	19888	CTD-NpetB-172
38733	32651	31516	31516	26697	CTD-NpetB-173
30712	27309	26546	26546	23305	CTD-NpetB-174
43685	39507	39061	39061	29394	CTD-NpetB-175
38259	33370	32759	32759	27545	CTD-NpetB-176
36928	32348	31770	31770	26181	CTD-NpetB-177
36757	32208	31605	31605	26317	CTD-NpetB-178
30150	26530	25964	25964	22214	CTD-NpetB-179
30029	25874	25139	25139	21149	CTD-NpetB-180
32847	29007	28262	28262	24093	CTD-NpetB-181
28349	24964	24469	24469	21115	CTD-NpetB-182
33597	28656	27847	27847	22993	CTD-NpetB-183
33465	28528	27782	27782	22923	CTD-NpetB-184
31896	27855	27027	27027	23481	CTD-NpetB-185
36626	32299	31599	31599	26911	CTD-NpetB-186
38180	33787	33046	33046	26833	CTD-NpetB-213
35309	31528	30918	30918	25990	CTD-NpetB-214
38954	34651	33922	33922	28168	CTD-NpetB-215
31291	27229	26523	26523	22511	CTD-NpetB-216
34628	30578	29768	29768	23322	CTD-NpetB-217
40640	36901	36131	36131	29954	CTD-NpetB-218
41137	36891	36220	36220	30382	CTD-NpetB-219
41293	37075	36355	36355	30041	CTD-NpetB-220
34356	30385	29803	29803	24897	CTD-NpetB-221
31172	27144	26417	26417	22207	CTD-NpetB-222
31914	27990	27155	27155	23220	CTD-NpetB-223
38379	34059	33293	33293	27225	CTD-NpetB-224
44159	40083	39990	39990	35597	syn-01-10
45006	40594	40330	40330	33424	syn-01-20
41714	37650	37372	37372	30390	syn-02-10
38015	33983	33801	33801	29016	syn-02-5
37739	33828	33609	33609	29116	syn-03-10
54298	49063	48800	48800	37219	syn-03-2
45458	40878	40594	40594	33199	syn-03-4
51348	46017	45791	45791	37622	syn-04
43118	39055	38878	38878	36221	syn-06
44586	40250	40089	40089	32723	syn-07
39876	35629	35432	35432	30306	syn-08
41289	38348	38334	38334	38077	syn-11
46093	41875	41515	41515	34363	syn-12
43567	39362	39141	39141	33199	syn-18
45183	40807	40693	40693	33845	syn-19
40530	36455	36313	36313	28680	syn-20
40126	36369	36171	36171	29185	syn-21
51274	46330	46032	46032	40233	syn-22
42094	37983	37717	37717	33546	syn-23
43682	39475	39163	39163	31161	syn-24
44094	40255	40046	40046	32075	syn-25
43902	39719	39458	39458	32540	syn-26
41990	37379	37211	37211	27962	syn-27
54467	48782	48602	48602	39020	syn-28
42838	38863	38687	38687	33280	syn-29
50813	45735	45511	45511	36246	syn-30
46860	42194	41820	41820	35447	syn-31
41658	37556	37354	37354	33147	syn-32
48926	44260	43943	43943	36971	syn-33
49916	45264	45001	45001	37653	syn-34
47767	43044	42818	42818	35657	syn-35
44072	39854	39558	39558	33026	syn-36
43487	39179	38975	38975	32988	syn-37
47227	42703	42252	42252	35508	syn-38
49215	44592	44328	44328	36283	syn-39
46845	42158	41858	41858	33477	syn-40
49739	45326	45077	45077	35894	syn-41
46552	42076	41851	41851	35904	syn-42
44534	39848	39401	39401	30945	syn-43
42161	38436	38263	38263	32414	syn-44
34717	31338	31092	31092	26767	syn-45
43250	38795	38585	38585	32430	syn-46
37771	33965	33802	33802	29358	syn-47
48986	44028	43765	43765	34460	syn-48
49238	44129	43622	43622	35283	syn-49
51143	46083	45880	45880	38571	syn-50
56213	50519	50111	50111	38887	syn-51
48647	44017	43584	43584	34773	syn-52
44725	40180	39853	39853	31506	syn-53
45692	40922	40573	40573	34471	syn-54
47887	43773	43457	43457	37142	syn-55
55936	51285	50664	50664	32841	syn-56
47660	42627	42268	42268	32838	syn-57
41124	36768	36432	36432	28723	syn-58
52790	47288	46960	46960	38946	syn-59
40323	36051	35816	35816	31913	syn-60
44311	39805	39452	39452	30276	syn-61
43182	38635	38114	38114	29835	syn-62
45647	40789	40390	40390	32344	syn-63
49587	44273	44000	44000	37816	syn-64
49366	44375	43817	43817	35839	syn-65
44903	40150	39654	39654	30528	syn-66
48281	43138	42537	42537	35629	syn-67
38638	34419	34044	34044	28600	syn-68
48280	43378	42974	42974	35576	syn-69
44652	39764	39296	39296	30563	syn-70
46712	42020	41549	41549	32356	syn-71
45834	40788	40469	40469	30754	syn-72
48160	42876	42464	42464	36390	syn-73
47650	42583	42168	42168	32732	syn-74
49102	43650	43323	43323	35294	syn-75
44075	39074	38668	38668	31400	syn-76
45268	40671	40278	40278	32342	syn-77
43818	39309	38870	38870	30543	syn-78
