cutadapt	filtered	denoised	tabled	nonchim	file_code
51340	49992	48269	48269	43644	CTD-petB-128
55598	54759	53791	53791	47783	CTD-petB-128-1
49147	48070	47364	47364	41345	CTD-petB-129
54776	53793	52507	52507	46149	CTD-petB-130
49084	48212	47307	47307	43078	CTD-petB-131
45840	45052	44376	44376	38891	CTD-petB-132
51776	51160	50393	50393	45304	CTD-petB-133
50815	47971	45669	45669	42640	CTD-petB-134
51900	47844	44206	44206	41706	CTD-petB-135
55310	51846	48816	48816	45465	CTD-petB-136
56136	54429	52644	52644	47791	CTD-petB-137
58199	56752	55487	55487	51022	CTD-petB-138
43981	40653	38264	38264	34932	CTD-petB-139
61246	58595	56406	56406	52162	CTD-petB-140
43359	41358	39437	39437	37563	CTD-petB-141
44426	42521	40721	40721	38952	CTD-petB-142
46893	44692	42407	42407	39900	CTD-petB-143
49519	48536	47506	47506	43937	CTD-petB-144
43413	42028	40007	40007	37779	CTD-petB-145
49516	47277	45107	45107	42682	CTD-petB-146
47008	45172	43316	43316	40835	CTD-petB-147
47654	46201	44472	44472	42272	CTD-petB-148
56970	54611	52079	52079	48027	CTD-petB-149
48154	46176	43570	43570	41553	CTD-petB-150
41173	40364	39035	39035	36661	CTD-petB-151
43064	41514	39328	39328	34126	CTD-petB-152
39180	37981	36349	36349	31012	CTD-petB-153
46213	44795	43337	43337	36491	CTD-petB-154
40860	39732	38421	38421	33040	CTD-petB-155
48211	46447	45040	45040	38074	CTD-petB-156
51495	49122	47294	47294	39908	CTD-petB-157
50425	49202	47862	47862	40671	CTD-petB-158
45534	44234	43037	43037	37896	CTD-petB-159
51431	49998	48235	48235	41524	CTD-petB-160
42000	41013	39743	39743	34211	CTD-petB-161
46939	44883	43028	43028	38829	CTD-petB-162
44661	41845	39197	39197	35440	CTD-petB-163
53193	52346	50984	50984	46494	CTD-petB-164
43093	40843	38688	38688	36337	CTD-petB-165
50485	49430	48301	48301	45065	CTD-petB-166
51061	48757	46603	46603	43171	CTD-petB-167
40489	38325	35603	35603	33951	CTD-petB-168
40935	38694	36224	36224	34553	CTD-petB-169
49621	48222	46617	46617	42937	CTD-petB-170
47662	46157	44540	44540	41285	CTD-petB-171
40293	38957	36968	36968	34667	CTD-petB-172
42573	40745	38799	38799	36620	CTD-petB-173
46285	45371	43988	43988	41340	CTD-petB-174
44632	42747	41242	41242	37440	CTD-petB-175
55855	54964	53600	53600	49012	CTD-petB-176
52004	50582	49076	49076	45735	CTD-petB-177
48173	46639	45047	45047	42083	CTD-petB-178
49877	48881	47394	47394	43807	CTD-petB-179
45223	44250	43008	43008	40290	CTD-petB-180
49790	48951	47780	47780	44115	CTD-petB-181
46119	45397	44304	44304	40989	CTD-petB-182
50359	49297	47747	47747	43703	CTD-petB-183
47473	46611	45040	45040	41572	CTD-petB-184
50971	49741	48172	48172	44881	CTD-petB-185
50980	49928	48545	48545	44570	CTD-petB-186
55681	54059	52778	52778	49661	CTD-petB-213
56508	55317	54091	54091	49160	CTD-petB-214
50841	50197	49395	49395	43925	CTD-petB-216
53498	52756	51761	51761	45102	CTD-petB-217
62345	61045	59757	59757	53859	CTD-petB-219
57943	56909	55677	55677	51049	CTD-petB-220
52284	51390	50409	50409	45445	CTD-petB-221
54575	53701	52663	52663	47016	CTD-petB-222
40494	39942	39118	39118	35745	CTD-petB-223
51509	50815	49943	49943	44421	CTD-petB-224
48936	48318	47726	47726	34072	CTD-petB-neg2
