asv_code	file_code	n_reads
asv_D1.2_00001	CTD-NpetB-128	2008
asv_D1.2_00002	CTD-NpetB-128	1467
asv_D1.2_00003	CTD-NpetB-128	767
asv_D1.2_00004	CTD-NpetB-128	906
asv_D1.2_00005	CTD-NpetB-128	841
asv_D1.2_00006	CTD-NpetB-128	328
asv_D1.2_00007	CTD-NpetB-128	339
asv_D1.2_00008	CTD-NpetB-128	477
asv_D1.2_00009	CTD-NpetB-128	300
asv_D1.2_00011	CTD-NpetB-128	189
asv_D1.2_00012	CTD-NpetB-128	105
asv_D1.2_00013	CTD-NpetB-128	192
asv_D1.2_00016	CTD-NpetB-128	74
asv_D1.2_00017	CTD-NpetB-128	56
asv_D1.2_00019	CTD-NpetB-128	189
asv_D1.2_00020	CTD-NpetB-128	91
asv_D1.2_00021	CTD-NpetB-128	125
asv_D1.2_00023	CTD-NpetB-128	138
asv_D1.2_00026	CTD-NpetB-128	104
asv_D1.2_00028	CTD-NpetB-128	41
asv_D1.2_00029	CTD-NpetB-128	92
asv_D1.2_00035	CTD-NpetB-128	99
asv_D1.2_00036	CTD-NpetB-128	39
asv_D1.2_00040	CTD-NpetB-128	37
asv_D1.2_00041	CTD-NpetB-128	90
asv_D1.2_00042	CTD-NpetB-128	28
asv_D1.2_00047	CTD-NpetB-128	37
asv_D1.2_00055	CTD-NpetB-128	72
asv_D1.2_00059	CTD-NpetB-128	85
asv_D1.2_00064	CTD-NpetB-128	33
asv_D1.2_00070	CTD-NpetB-128	28
asv_D1.2_00074	CTD-NpetB-128	24
asv_D1.2_00089	CTD-NpetB-128	19
asv_D1.2_00101	CTD-NpetB-128	23
asv_D1.2_00148	CTD-NpetB-128	16
asv_D1.2_00001	CTD-NpetB-129	2344
asv_D1.2_00002	CTD-NpetB-129	864
asv_D1.2_00003	CTD-NpetB-129	383
asv_D1.2_00004	CTD-NpetB-129	731
asv_D1.2_00005	CTD-NpetB-129	451
asv_D1.2_00006	CTD-NpetB-129	161
asv_D1.2_00007	CTD-NpetB-129	515
asv_D1.2_00008	CTD-NpetB-129	266
asv_D1.2_00012	CTD-NpetB-129	347
asv_D1.2_00013	CTD-NpetB-129	38
asv_D1.2_00020	CTD-NpetB-129	97
asv_D1.2_00026	CTD-NpetB-129	85
asv_D1.2_00029	CTD-NpetB-129	85
asv_D1.2_00034	CTD-NpetB-129	655
asv_D1.2_00036	CTD-NpetB-129	162
asv_D1.2_00041	CTD-NpetB-129	257
asv_D1.2_00049	CTD-NpetB-129	234
asv_D1.2_00055	CTD-NpetB-129	197
asv_D1.2_00058	CTD-NpetB-129	200
asv_D1.2_00071	CTD-NpetB-129	537
asv_D1.2_00074	CTD-NpetB-129	165
asv_D1.2_00083	CTD-NpetB-129	193
asv_D1.2_00098	CTD-NpetB-129	249
asv_D1.2_00102	CTD-NpetB-129	93
asv_D1.2_00105	CTD-NpetB-129	231
asv_D1.2_00109	CTD-NpetB-129	141
asv_D1.2_00113	CTD-NpetB-129	115
asv_D1.2_00114	CTD-NpetB-129	112
asv_D1.2_00126	CTD-NpetB-129	145
asv_D1.2_00139	CTD-NpetB-129	103
asv_D1.2_00152	CTD-NpetB-129	83
asv_D1.2_00166	CTD-NpetB-129	63
asv_D1.2_00226	CTD-NpetB-129	25
asv_D1.2_00001	CTD-NpetB-130	1318
asv_D1.2_00002	CTD-NpetB-130	1304
asv_D1.2_00003	CTD-NpetB-130	654
asv_D1.2_00004	CTD-NpetB-130	669
asv_D1.2_00005	CTD-NpetB-130	628
asv_D1.2_00006	CTD-NpetB-130	215
asv_D1.2_00007	CTD-NpetB-130	373
asv_D1.2_00008	CTD-NpetB-130	299
asv_D1.2_00009	CTD-NpetB-130	240
asv_D1.2_00011	CTD-NpetB-130	142
asv_D1.2_00013	CTD-NpetB-130	136
asv_D1.2_00014	CTD-NpetB-130	47
asv_D1.2_00016	CTD-NpetB-130	64
asv_D1.2_00020	CTD-NpetB-130	92
asv_D1.2_00021	CTD-NpetB-130	75
asv_D1.2_00022	CTD-NpetB-130	8
asv_D1.2_00023	CTD-NpetB-130	87
asv_D1.2_00026	CTD-NpetB-130	106
asv_D1.2_00028	CTD-NpetB-130	23
asv_D1.2_00029	CTD-NpetB-130	58
asv_D1.2_00032	CTD-NpetB-130	22
asv_D1.2_00035	CTD-NpetB-130	62
asv_D1.2_00040	CTD-NpetB-130	29
asv_D1.2_00041	CTD-NpetB-130	60
asv_D1.2_00042	CTD-NpetB-130	14
asv_D1.2_00047	CTD-NpetB-130	31
asv_D1.2_00059	CTD-NpetB-130	73
asv_D1.2_00060	CTD-NpetB-130	43
asv_D1.2_00082	CTD-NpetB-130	10
asv_D1.2_00199	CTD-NpetB-130	18
asv_D1.2_00295	CTD-NpetB-130	2
asv_D1.2_00001	CTD-NpetB-131	2240
asv_D1.2_00002	CTD-NpetB-131	955
asv_D1.2_00003	CTD-NpetB-131	502
asv_D1.2_00004	CTD-NpetB-131	908
asv_D1.2_00005	CTD-NpetB-131	503
asv_D1.2_00006	CTD-NpetB-131	108
asv_D1.2_00007	CTD-NpetB-131	331
asv_D1.2_00008	CTD-NpetB-131	331
asv_D1.2_00009	CTD-NpetB-131	76
asv_D1.2_00014	CTD-NpetB-131	90
asv_D1.2_00019	CTD-NpetB-131	209
asv_D1.2_00021	CTD-NpetB-131	180
asv_D1.2_00027	CTD-NpetB-131	87
asv_D1.2_00028	CTD-NpetB-131	98
asv_D1.2_00029	CTD-NpetB-131	174
asv_D1.2_00032	CTD-NpetB-131	43
asv_D1.2_00035	CTD-NpetB-131	304
asv_D1.2_00040	CTD-NpetB-131	151
asv_D1.2_00047	CTD-NpetB-131	33
asv_D1.2_00050	CTD-NpetB-131	124
asv_D1.2_00053	CTD-NpetB-131	33
asv_D1.2_00055	CTD-NpetB-131	144
asv_D1.2_00064	CTD-NpetB-131	99
asv_D1.2_00069	CTD-NpetB-131	136
asv_D1.2_00075	CTD-NpetB-131	75
asv_D1.2_00078	CTD-NpetB-131	24
asv_D1.2_00083	CTD-NpetB-131	86
asv_D1.2_00084	CTD-NpetB-131	38
asv_D1.2_00107	CTD-NpetB-131	79
asv_D1.2_00108	CTD-NpetB-131	51
asv_D1.2_00109	CTD-NpetB-131	55
asv_D1.2_00115	CTD-NpetB-131	27
asv_D1.2_00117	CTD-NpetB-131	108
asv_D1.2_00127	CTD-NpetB-131	143
asv_D1.2_00128	CTD-NpetB-131	142
asv_D1.2_00147	CTD-NpetB-131	74
asv_D1.2_00150	CTD-NpetB-131	87
asv_D1.2_00155	CTD-NpetB-131	43
asv_D1.2_00159	CTD-NpetB-131	51
asv_D1.2_00161	CTD-NpetB-131	68
asv_D1.2_00168	CTD-NpetB-131	62
asv_D1.2_00176	CTD-NpetB-131	53
asv_D1.2_00180	CTD-NpetB-131	50
asv_D1.2_00183	CTD-NpetB-131	48
asv_D1.2_00189	CTD-NpetB-131	46
asv_D1.2_00202	CTD-NpetB-131	40
asv_D1.2_00214	CTD-NpetB-131	31
asv_D1.2_00223	CTD-NpetB-131	27
asv_D1.2_00231	CTD-NpetB-131	23
asv_D1.2_00235	CTD-NpetB-131	22
asv_D1.2_00238	CTD-NpetB-131	21
asv_D1.2_00257	CTD-NpetB-131	14
asv_D1.2_00291	CTD-NpetB-131	3
asv_D1.2_00296	CTD-NpetB-131	2
asv_D1.2_00001	CTD-NpetB-132	3104
asv_D1.2_00002	CTD-NpetB-132	1572
asv_D1.2_00003	CTD-NpetB-132	1466
asv_D1.2_00004	CTD-NpetB-132	733
asv_D1.2_00005	CTD-NpetB-132	284
asv_D1.2_00007	CTD-NpetB-132	734
asv_D1.2_00008	CTD-NpetB-132	568
asv_D1.2_00012	CTD-NpetB-132	412
asv_D1.2_00018	CTD-NpetB-132	188
asv_D1.2_00026	CTD-NpetB-132	110
asv_D1.2_00029	CTD-NpetB-132	414
asv_D1.2_00035	CTD-NpetB-132	218
asv_D1.2_00050	CTD-NpetB-132	704
asv_D1.2_00058	CTD-NpetB-132	195
asv_D1.2_00060	CTD-NpetB-132	352
asv_D1.2_00061	CTD-NpetB-132	529
asv_D1.2_00095	CTD-NpetB-132	264
asv_D1.2_00103	CTD-NpetB-132	234
asv_D1.2_00111	CTD-NpetB-132	192
asv_D1.2_00114	CTD-NpetB-132	71
asv_D1.2_00131	CTD-NpetB-132	121
asv_D1.2_00138	CTD-NpetB-132	105
asv_D1.2_00149	CTD-NpetB-132	51
asv_D1.2_00195	CTD-NpetB-132	44
asv_D1.2_00206	CTD-NpetB-132	38
asv_D1.2_00001	CTD-NpetB-133	1891
asv_D1.2_00002	CTD-NpetB-133	1314
asv_D1.2_00003	CTD-NpetB-133	1010
asv_D1.2_00004	CTD-NpetB-133	548
asv_D1.2_00005	CTD-NpetB-133	447
asv_D1.2_00006	CTD-NpetB-133	131
asv_D1.2_00007	CTD-NpetB-133	459
asv_D1.2_00008	CTD-NpetB-133	526
asv_D1.2_00010	CTD-NpetB-133	208
asv_D1.2_00011	CTD-NpetB-133	356
asv_D1.2_00016	CTD-NpetB-133	169
asv_D1.2_00018	CTD-NpetB-133	105
asv_D1.2_00020	CTD-NpetB-133	58
asv_D1.2_00021	CTD-NpetB-133	253
asv_D1.2_00023	CTD-NpetB-133	65
asv_D1.2_00026	CTD-NpetB-133	118
asv_D1.2_00027	CTD-NpetB-133	164
asv_D1.2_00033	CTD-NpetB-133	99
asv_D1.2_00035	CTD-NpetB-133	277
asv_D1.2_00037	CTD-NpetB-133	237
asv_D1.2_00040	CTD-NpetB-133	96
asv_D1.2_00043	CTD-NpetB-133	40
asv_D1.2_00046	CTD-NpetB-133	75
asv_D1.2_00047	CTD-NpetB-133	17
asv_D1.2_00055	CTD-NpetB-133	169
asv_D1.2_00058	CTD-NpetB-133	94
asv_D1.2_00060	CTD-NpetB-133	98
asv_D1.2_00070	CTD-NpetB-133	43
asv_D1.2_00078	CTD-NpetB-133	57
asv_D1.2_00086	CTD-NpetB-133	33
asv_D1.2_00092	CTD-NpetB-133	36
asv_D1.2_00107	CTD-NpetB-133	133
asv_D1.2_00110	CTD-NpetB-133	195
asv_D1.2_00119	CTD-NpetB-133	115
asv_D1.2_00123	CTD-NpetB-133	112
asv_D1.2_00136	CTD-NpetB-133	114
asv_D1.2_00140	CTD-NpetB-133	103
asv_D1.2_00146	CTD-NpetB-133	99
asv_D1.2_00156	CTD-NpetB-133	74
asv_D1.2_00160	CTD-NpetB-133	69
asv_D1.2_00164	CTD-NpetB-133	48
asv_D1.2_00187	CTD-NpetB-133	47
asv_D1.2_00196	CTD-NpetB-133	43
asv_D1.2_00200	CTD-NpetB-133	42
asv_D1.2_00208	CTD-NpetB-133	36
asv_D1.2_00216	CTD-NpetB-133	29
asv_D1.2_00001	CTD-NpetB-134	1722
asv_D1.2_00002	CTD-NpetB-134	1737
asv_D1.2_00003	CTD-NpetB-134	515
asv_D1.2_00004	CTD-NpetB-134	685
asv_D1.2_00005	CTD-NpetB-134	658
asv_D1.2_00006	CTD-NpetB-134	461
asv_D1.2_00007	CTD-NpetB-134	256
asv_D1.2_00008	CTD-NpetB-134	476
asv_D1.2_00009	CTD-NpetB-134	234
asv_D1.2_00010	CTD-NpetB-134	254
asv_D1.2_00011	CTD-NpetB-134	100
asv_D1.2_00013	CTD-NpetB-134	162
asv_D1.2_00014	CTD-NpetB-134	88
asv_D1.2_00016	CTD-NpetB-134	143
