denoised	tabled	nonchim	file_code
34816	34816	27500	CTD-NpetB-128
36770	36770	30548	CTD-NpetB-129
23788	23788	19593	CTD-NpetB-130
36690	36690	29529	CTD-NpetB-131
49335	49335	40355	CTD-NpetB-132
41966	41966	32269	CTD-NpetB-133
28917	28917	25132	CTD-NpetB-134
32233	32233	26981	CTD-NpetB-135
29321	29321	24998	CTD-NpetB-136
33257	33257	27487	CTD-NpetB-137
36508	36508	30882	CTD-NpetB-138
33138	33138	27577	CTD-NpetB-139
33378	33378	28255	CTD-NpetB-140
31171	31171	25915	CTD-NpetB-141
32526	32526	27220	CTD-NpetB-142
34875	34875	29206	CTD-NpetB-143
30657	30657	25477	CTD-NpetB-144
31708	31708	26352	CTD-NpetB-145
33863	33863	27545	CTD-NpetB-146
22730	22730	17780	CTD-NpetB-147
28488	28488	24026	CTD-NpetB-148
32725	32725	27741	CTD-NpetB-149
27418	27418	23487	CTD-NpetB-150
32075	32075	27042	CTD-NpetB-151
25243	25243	19136	CTD-NpetB-152
30981	30981	23016	CTD-NpetB-153
28979	28979	21504	CTD-NpetB-154
30206	30206	22530	CTD-NpetB-155
28490	28490	21488	CTD-NpetB-156
31939	31939	23976	CTD-NpetB-157
27321	27321	20508	CTD-NpetB-158
34275	34275	24792	CTD-NpetB-159
28584	28584	21274	CTD-NpetB-160
31932	31932	23351	CTD-NpetB-161
35844	35844	27137	CTD-NpetB-162
27176	27176	20483	CTD-NpetB-163
32163	32163	26021	CTD-NpetB-164
35179	35179	28635	CTD-NpetB-165
30893	30893	25558	CTD-NpetB-166
32990	32990	26969	CTD-NpetB-167
27891	27891	23091	CTD-NpetB-168
32351	32351	26803	CTD-NpetB-169
34179	34179	28283	CTD-NpetB-170
33226	33226	27926	CTD-NpetB-171
25544	25544	22099	CTD-NpetB-172
35086	35086	28325	CTD-NpetB-173
29200	29200	24875	CTD-NpetB-174
42982	42982	35852	CTD-NpetB-175
35196	35196	29668	CTD-NpetB-176
35375	35375	29234	CTD-NpetB-177
35110	35110	29828	CTD-NpetB-178
29108	29108	25045	CTD-NpetB-179
27908	27908	23584	CTD-NpetB-180
31251	31251	26692	CTD-NpetB-181
27369	27369	23571	CTD-NpetB-182
31269	31269	26052	CTD-NpetB-183
31472	31472	25950	CTD-NpetB-184
29436	29436	25478	CTD-NpetB-185
35508	35508	30224	CTD-NpetB-186
36118	36118	29933	CTD-NpetB-213
33910	33910	28230	CTD-NpetB-214
36380	36380	30444	CTD-NpetB-215
29401	29401	25441	CTD-NpetB-216
32617	32617	26176	CTD-NpetB-217
40058	40058	32395	CTD-NpetB-218
39576	39576	33795	CTD-NpetB-219
39687	39687	32977	CTD-NpetB-220
32956	32956	27882	CTD-NpetB-221
29422	29422	24070	CTD-NpetB-222
30461	30461	24792	CTD-NpetB-223
36098	36098	29477	CTD-NpetB-224
