reads.in	reads.out
39116	35460
38579	37019
28298	24414
38640	36974
52477	49659
44032	42261
33180	29564
35807	32918
33439	29798
36017	33866
39643	37216
35543	33801
36787	33917
36379	31681
35384	33092
39899	35489
34186	31303
35694	32390
38196	34550
26464	23290
31695	28956
36679	33155
31402	28031
35672	32646
28502	25826
36265	31718
32982	29645
34584	30716
32462	29000
35621	32423
30673	27843
39550	34993
32078	29253
36557	32522
39893	36720
30417	27573
37448	32971
38702	36048
35050	31738
36537	33767
31780	28612
35562	33150
37654	35015
37272	33914
29605	26389
40842	35923
32314	29976
45483	43445
39051	35767
38681	35841
39217	35689
32654	29684
31813	28273
34890	31907
30304	27795
35635	31940
35671	32092
32854	30105
39624	36065
39632	36835
36926	34452
39750	37071
32861	29935
36116	33248
42441	40530
43023	40137
43126	40460
36051	33348
32983	30007
33960	31034
39858	37127
