asv_code	file_code	n_reads
asv_D1.3_00001	CTD-petB-128	6124
asv_D1.3_00002	CTD-petB-128	10898
asv_D1.3_00003	CTD-petB-128	4214
asv_D1.3_00004	CTD-petB-128	3660
asv_D1.3_00005	CTD-petB-128	1113
asv_D1.3_00006	CTD-petB-128	492
asv_D1.3_00007	CTD-petB-128	432
asv_D1.3_00008	CTD-petB-128	344
asv_D1.3_00009	CTD-petB-128	351
asv_D1.3_00010	CTD-petB-128	459
asv_D1.3_00011	CTD-petB-128	218
asv_D1.3_00012	CTD-petB-128	507
asv_D1.3_00013	CTD-petB-128	279
asv_D1.3_00014	CTD-petB-128	237
asv_D1.3_00015	CTD-petB-128	504
asv_D1.3_00016	CTD-petB-128	87
asv_D1.3_00017	CTD-petB-128	984
asv_D1.3_00018	CTD-petB-128	404
asv_D1.3_00019	CTD-petB-128	243
asv_D1.3_00021	CTD-petB-128	512
asv_D1.3_00022	CTD-petB-128	384
asv_D1.3_00023	CTD-petB-128	836
asv_D1.3_00024	CTD-petB-128	145
asv_D1.3_00025	CTD-petB-128	168
asv_D1.3_00027	CTD-petB-128	244
asv_D1.3_00028	CTD-petB-128	613
asv_D1.3_00029	CTD-petB-128	129
asv_D1.3_00030	CTD-petB-128	132
asv_D1.3_00031	CTD-petB-128	137
asv_D1.3_00032	CTD-petB-128	111
asv_D1.3_00034	CTD-petB-128	177
asv_D1.3_00035	CTD-petB-128	201
asv_D1.3_00036	CTD-petB-128	303
asv_D1.3_00037	CTD-petB-128	327
asv_D1.3_00038	CTD-petB-128	467
asv_D1.3_00039	CTD-petB-128	319
asv_D1.3_00040	CTD-petB-128	255
asv_D1.3_00042	CTD-petB-128	395
asv_D1.3_00043	CTD-petB-128	190
asv_D1.3_00044	CTD-petB-128	190
asv_D1.3_00045	CTD-petB-128	177
asv_D1.3_00047	CTD-petB-128	238
asv_D1.3_00048	CTD-petB-128	144
asv_D1.3_00049	CTD-petB-128	124
asv_D1.3_00051	CTD-petB-128	68
asv_D1.3_00052	CTD-petB-128	227
asv_D1.3_00055	CTD-petB-128	57
asv_D1.3_00056	CTD-petB-128	58
asv_D1.3_00057	CTD-petB-128	27
asv_D1.3_00060	CTD-petB-128	238
asv_D1.3_00061	CTD-petB-128	43
asv_D1.3_00062	CTD-petB-128	137
asv_D1.3_00063	CTD-petB-128	70
asv_D1.3_00064	CTD-petB-128	113
asv_D1.3_00065	CTD-petB-128	114
asv_D1.3_00067	CTD-petB-128	125
asv_D1.3_00068	CTD-petB-128	7
asv_D1.3_00069	CTD-petB-128	109
asv_D1.3_00070	CTD-petB-128	57
asv_D1.3_00071	CTD-petB-128	94
asv_D1.3_00072	CTD-petB-128	30
asv_D1.3_00074	CTD-petB-128	123
asv_D1.3_00075	CTD-petB-128	140
asv_D1.3_00076	CTD-petB-128	68
asv_D1.3_00078	CTD-petB-128	224
asv_D1.3_00079	CTD-petB-128	37
asv_D1.3_00080	CTD-petB-128	23
asv_D1.3_00082	CTD-petB-128	150
asv_D1.3_00084	CTD-petB-128	28
asv_D1.3_00085	CTD-petB-128	22
asv_D1.3_00086	CTD-petB-128	115
asv_D1.3_00089	CTD-petB-128	115
asv_D1.3_00093	CTD-petB-128	35
asv_D1.3_00094	CTD-petB-128	15
asv_D1.3_00095	CTD-petB-128	124
asv_D1.3_00097	CTD-petB-128	61
asv_D1.3_00099	CTD-petB-128	103
asv_D1.3_00100	CTD-petB-128	57
asv_D1.3_00101	CTD-petB-128	37
asv_D1.3_00103	CTD-petB-128	9
asv_D1.3_00104	CTD-petB-128	38
asv_D1.3_00105	CTD-petB-128	21
asv_D1.3_00108	CTD-petB-128	16
asv_D1.3_00110	CTD-petB-128	39
asv_D1.3_00112	CTD-petB-128	78
asv_D1.3_00113	CTD-petB-128	33
asv_D1.3_00114	CTD-petB-128	54
asv_D1.3_00118	CTD-petB-128	27
asv_D1.3_00121	CTD-petB-128	21
asv_D1.3_00122	CTD-petB-128	50
asv_D1.3_00125	CTD-petB-128	45
asv_D1.3_00128	CTD-petB-128	46
asv_D1.3_00133	CTD-petB-128	63
asv_D1.3_00137	CTD-petB-128	25
asv_D1.3_00148	CTD-petB-128	30
asv_D1.3_00149	CTD-petB-128	18
asv_D1.3_00152	CTD-petB-128	7
asv_D1.3_00153	CTD-petB-128	33
asv_D1.3_00155	CTD-petB-128	7
asv_D1.3_00158	CTD-petB-128	19
asv_D1.3_00159	CTD-petB-128	13
asv_D1.3_00163	CTD-petB-128	49
asv_D1.3_00167	CTD-petB-128	37
asv_D1.3_00171	CTD-petB-128	16
asv_D1.3_00172	CTD-petB-128	15
asv_D1.3_00174	CTD-petB-128	47
asv_D1.3_00184	CTD-petB-128	5
asv_D1.3_00185	CTD-petB-128	81
asv_D1.3_00189	CTD-petB-128	23
asv_D1.3_00202	CTD-petB-128	28
asv_D1.3_00208	CTD-petB-128	41
asv_D1.3_00212	CTD-petB-128	45
asv_D1.3_00214	CTD-petB-128	19
asv_D1.3_00220	CTD-petB-128	15
asv_D1.3_00222	CTD-petB-128	34
asv_D1.3_00227	CTD-petB-128	14
asv_D1.3_00237	CTD-petB-128	11
asv_D1.3_00239	CTD-petB-128	4
asv_D1.3_00247	CTD-petB-128	14
asv_D1.3_00249	CTD-petB-128	8
asv_D1.3_00255	CTD-petB-128	7
asv_D1.3_00259	CTD-petB-128	6
asv_D1.3_00260	CTD-petB-128	7
asv_D1.3_00283	CTD-petB-128	7
asv_D1.3_00300	CTD-petB-128	13
asv_D1.3_00301	CTD-petB-128	22
asv_D1.3_00309	CTD-petB-128	22
asv_D1.3_00315	CTD-petB-128	10
