denoised	tabled	nonchim	file_code
50039	50039	43477	CTD-petB-128
55783	55783	49418	CTD-petB-128-1
47591	47591	42832	CTD-petB-129
52967	52967	43945	CTD-petB-130
49293	49293	43886	CTD-petB-131
44607	44607	39697	CTD-petB-132
51617	51617	45871	CTD-petB-133
45483	45483	40221	CTD-petB-134
46124	46124	41359	CTD-petB-135
49216	49216	43098	CTD-petB-136
54325	54325	48914	CTD-petB-137
55127	55127	48082	CTD-petB-138
36129	36129	32481	CTD-petB-139
57017	57017	48711	CTD-petB-140
39800	39800	34199	CTD-petB-141
41446	41446	35562	CTD-petB-142
42966	42966	36690	CTD-petB-143
47499	47499	40049	CTD-petB-144
40630	40630	34236	CTD-petB-145
44894	44894	38186	CTD-petB-146
44081	44081	37060	CTD-petB-147
44537	44537	37663	CTD-petB-148
52277	52277	44143	CTD-petB-149
45247	45247	38425	CTD-petB-150
40368	40368	33693	CTD-petB-151
42269	42269	35778	CTD-petB-152
37563	37563	31244	CTD-petB-153
45055	45055	36490	CTD-petB-154
40081	40081	32954	CTD-petB-155
47130	47130	39201	CTD-petB-156
49860	49860	42092	CTD-petB-157
49491	49491	40814	CTD-petB-158
44905	44905	37981	CTD-petB-159
49084	49084	40162	CTD-petB-160
41276	41276	34535	CTD-petB-161
43452	43452	37837	CTD-petB-162
39733	39733	35230	CTD-petB-163
51401	51401	45713	CTD-petB-164
38569	38569	34645	CTD-petB-165
47856	47856	43511	CTD-petB-166
46611	46611	41319	CTD-petB-167
35298	35298	31565	CTD-petB-168
35854	35854	33497	CTD-petB-169
47447	47447	42459	CTD-petB-170
45339	45339	40189	CTD-petB-171
37221	37221	32546	CTD-petB-172
37547	37547	33639	CTD-petB-173
44214	44214	40199	CTD-petB-174
42124	42124	37367	CTD-petB-175
54081	54081	46813	CTD-petB-176
49013	49013	41952	CTD-petB-177
45170	45170	38413	CTD-petB-178
48031	48031	40752	CTD-petB-179
41429	41429	34682	CTD-petB-180
48265	48265	39861	CTD-petB-181
45044	45044	38118	CTD-petB-182
47763	47763	40055	CTD-petB-183
43987	43987	36564	CTD-petB-184
46799	46799	39592	CTD-petB-185
48254	48254	41243	CTD-petB-186
54742	54742	48807	CTD-petB-213
55475	55475	48018	CTD-petB-214
51250	51250	42646	CTD-petB-216
53047	53047	44148	CTD-petB-217
61222	61222	53244	CTD-petB-219
56100	56100	48694	CTD-petB-220
51605	51605	44036	CTD-petB-221
54430	54430	46076	CTD-petB-222
40320	40320	34112	CTD-petB-223
50242	50242	42660	CTD-petB-224
35613	35613	22435	CTD-petB-neg2
