reads.in	reads.out
52169	51578
56846	56525
49596	48796
55046	54428
50303	49998
45885	45507
52578	52259
48335	47698
49333	48616
51934	51347
56995	56249
56548	56123
38326	37875
60305	59311
42134	41723
44043	43406
45760	45186
49179	48696
43537	42835
47734	47199
46143	45678
46661	46202
55582	54864
48552	48009
42058	41662
44773	44309
39241	38882
46792	46309
41660	41211
48739	48343
52196	51678
51110	50756
46699	46265
50979	50673
42623	42345
46174	45479
42824	42182
52856	52434
41302	40626
49285	48759
49449	48664
37922	37417
38256	37788
49135	48740
47632	47021
39523	39012
40569	39736
45499	45168
43787	43311
55422	55069
51142	50569
48308	47360
49978	49427
43183	42735
49905	49407
46735	46184
49597	49164
45732	45318
48925	48175
50500	49799
55974	55626
57003	56524
52108	51786
54035	53624
62826	62215
57609	57164
52597	52283
55897	55444
41108	40869
51107	50797
36268	36030
