reads.in	reads.out
46038	8043
46060	7002
43889	4222
39109	6610
39398	4943
56042	10632
46988	6974
52135	6051
43718	7881
46664	8924
40361	9626
42942	26348
46854	20647
44884	8674
46448	10186
42046	5302
42117	7991
52516	7945
43774	5042
45548	6568
45367	8483
45272	6640
42330	5643
56339	7399
44380	7025
50373	7715
48563	6607
43324	5324
49651	7546
51325	6398
48713	7389
45300	6642
45266	8518
48693	7768
50575	7613
48970	4945
50436	7322
47647	7571
46121	8307
44097	30858
35703	9111
44937	12074
39075	10152
50207	12260
51630	15200
52091	12712
57962	15243
50108	15282
46841	12616
47358	12274
49737	32568
57375	15643
49887	14494
43150	11225
53774	15008
41825	12451
46031	12882
44553	11976
47819	14650
49902	13339
50611	13252
45619	11265
50653	14554
40089	10737
49549	16559
46808	14057
48677	14398
47307	13104
49826	11971
48600	13639
50868	12841
45108	12809
46981	13630
45544	12376
52838	16105
47381	15493
49105	16970
46945	15804
49018	16705
47985	15013
50175	12679
49232	13825
54945	14012
51827	15078
304	72
