denoised	tabled	nonchim	file_code
43574	43574	36244	syn-01-10
43860	43860	37985	syn-01-20
41646	41646	32382	syn-02-10
37509	37509	33069	syn-02-5
37278	37278	34261	syn-03-10
53215	53215	41784	syn-03-2
44275	44275	36253	syn-03-4
49409	49409	39902	syn-04
41697	41697	38318	syn-06
44548	44548	38219	syn-07
37819	37819	32406	syn-08
41926	41926	41589	syn-11
45056	45056	38279	syn-12
42723	42723	35288	syn-18
44189	44189	36140	syn-19
39637	39637	32899	syn-20
39731	39731	33704	syn-21
49775	49775	43088	syn-22
41718	41718	36246	syn-23
43081	43081	34742	syn-24
42859	42859	34293	syn-25
43085	43085	36743	syn-26
39923	39923	30252	syn-27
52765	52765	43808	syn-28
42097	42097	36138	syn-29
48018	48018	41456	syn-30
45913	45913	38992	syn-31
41065	41065	37293	syn-32
47136	47136	41190	syn-33
48667	48667	42558	syn-34
46224	46224	37930	syn-35
42952	42952	36790	syn-36
42823	42823	36067	syn-37
45847	45847	38000	syn-38
47545	47545	39791	syn-39
45154	45154	36502	syn-40
47639	47639	37525	syn-41
45117	45117	37336	syn-42
43527	43527	35345	syn-43
42764	42764	37189	syn-44
34026	34026	31899	syn-45
42958	42958	37055	syn-46
36924	36924	32356	syn-47
47574	47574	39027	syn-48
48756	48756	41828	syn-49
49739	49739	44422	syn-50
54211	54211	44793	syn-51
47203	47203	36608	syn-52
43893	43893	34886	syn-53
44488	44488	37322	syn-54
47913	47913	41876	syn-55
54748	54748	36338	syn-56
46660	46660	37523	syn-57
40323	40323	32459	syn-58
51234	51234	44975	syn-59
40055	40055	36756	syn-60
43654	43654	33865	syn-61
41733	41733	33403	syn-62
45215	45215	37410	syn-63
47889	47889	43098	syn-64
47635	47635	38372	syn-65
42944	42944	34739	syn-66
47562	47562	38011	syn-67
37580	37580	30529	syn-68
46783	46783	37678	syn-69
44200	44200	34532	syn-70
46111	46111	34929	syn-71
44682	44682	35647	syn-72
46787	46787	40666	syn-73
45563	45563	37108	syn-74
47958	47958	39929	syn-75
42744	42744	35262	syn-76
44352	44352	35091	syn-77
42956	42956	35426	syn-78
50229	50229	39849	syn-79
45434	45434	36643	syn-80
46880	46880	37369	syn-81
44348	44348	38182	syn-82
46614	46614	40243	syn-83
45859	45859	36827	syn-84
47280	47280	39788	syn-85
47117	47117	40204	syn-86
52178	52178	38183	syn-87
49438	49438	37646	syn-88
118	118	118	syn-negr1-2
