reads.in	reads.out
45889	43738
46148	44037
43544	41819
39348	37726
39350	37517
55846	53468
46729	44559
51884	49722
43799	41820
46643	44783
40866	37967
43175	41961
47037	45343
44828	42953
46431	44429
41765	39897
41642	39857
52482	50056
43810	41956
45426	43447
45017	43110
45138	43293
41978	40086
55758	53022
44058	42191
50561	48186
48446	46205
43163	41306
49646	47418
51125	48841
48694	46415
45066	43071
44991	43074
48471	46173
50084	47841
47801	45393
49997	47891
47291	45265
45883	43950
44586	42936
35684	34231
45099	43237
38978	37246
50137	47869
51627	49178
52257	49964
57361	54869
49827	47653
46423	44186
47252	44808
49879	48122
56987	55315
49311	47029
42737	40729
54376	51579
42174	40275
46205	44043
44536	42257
48292	45732
50791	48196
50536	48009
45939	43496
50797	48101
39967	38052
49743	47230
47008	44702
48666	46462
47613	45028
49800	47259
48594	46206
51339	48293
45404	43117
46956	44737
45480	43333
52833	50572
47749	45673
49665	47163
47620	44625
49092	47056
48099	46118
49968	47596
49401	47275
54979	52447
51758	49696
1462	164
