asv_code	file_code	n_reads
asv_0D4_00001	CTD-18S-213	44
asv_0D4_00002	CTD-18S-213	2517
asv_0D4_00003	CTD-18S-213	578
asv_0D4_00004	CTD-18S-213	120
asv_0D4_00005	CTD-18S-213	1018
asv_0D4_00006	CTD-18S-213	1070
asv_0D4_00007	CTD-18S-213	17
asv_0D4_00008	CTD-18S-213	17
asv_0D4_00009	CTD-18S-213	321
asv_0D4_00011	CTD-18S-213	93
asv_0D4_00012	CTD-18S-213	12
asv_0D4_00013	CTD-18S-213	36
asv_0D4_00015	CTD-18S-213	47
asv_0D4_00017	CTD-18S-213	507
asv_0D4_00018	CTD-18S-213	154
asv_0D4_00020	CTD-18S-213	905
asv_0D4_00022	CTD-18S-213	51
asv_0D4_00023	CTD-18S-213	12
asv_0D4_00024	CTD-18S-213	19
asv_0D4_00025	CTD-18S-213	251
asv_0D4_00026	CTD-18S-213	12
asv_0D4_00028	CTD-18S-213	40
asv_0D4_00033	CTD-18S-213	421
asv_0D4_00034	CTD-18S-213	641
asv_0D4_00035	CTD-18S-213	35
asv_0D4_00036	CTD-18S-213	15
asv_0D4_00037	CTD-18S-213	34
asv_0D4_00038	CTD-18S-213	314
asv_0D4_00041	CTD-18S-213	69
asv_0D4_00042	CTD-18S-213	221
asv_0D4_00046	CTD-18S-213	196
asv_0D4_00047	CTD-18S-213	145
asv_0D4_00048	CTD-18S-213	15
asv_0D4_00049	CTD-18S-213	120
asv_0D4_00050	CTD-18S-213	53
asv_0D4_00051	CTD-18S-213	36
asv_0D4_00056	CTD-18S-213	31
asv_0D4_00061	CTD-18S-213	76
asv_0D4_00063	CTD-18S-213	64
asv_0D4_00069	CTD-18S-213	65
asv_0D4_00070	CTD-18S-213	1221
asv_0D4_00078	CTD-18S-213	3262
asv_0D4_00079	CTD-18S-213	8
asv_0D4_00080	CTD-18S-213	20
asv_0D4_00086	CTD-18S-213	23
asv_0D4_00098	CTD-18S-213	318
asv_0D4_00099	CTD-18S-213	613
asv_0D4_00104	CTD-18S-213	122
asv_0D4_00108	CTD-18S-213	48
asv_0D4_00109	CTD-18S-213	406
asv_0D4_00110	CTD-18S-213	47
asv_0D4_00117	CTD-18S-213	13
asv_0D4_00118	CTD-18S-213	226
asv_0D4_00122	CTD-18S-213	24
asv_0D4_00129	CTD-18S-213	71
asv_0D4_00139	CTD-18S-213	16
asv_0D4_00146	CTD-18S-213	36
asv_0D4_00148	CTD-18S-213	589
asv_0D4_00151	CTD-18S-213	11
asv_0D4_00152	CTD-18S-213	35
asv_0D4_00153	CTD-18S-213	26
asv_0D4_00154	CTD-18S-213	480
asv_0D4_00160	CTD-18S-213	41
asv_0D4_00172	CTD-18S-213	1141
asv_0D4_00175	CTD-18S-213	991
asv_0D4_00177	CTD-18S-213	217
asv_0D4_00184	CTD-18S-213	9
asv_0D4_00187	CTD-18S-213	687
asv_0D4_00189	CTD-18S-213	21
asv_0D4_00191	CTD-18S-213	591
asv_0D4_00194	CTD-18S-213	556
asv_0D4_00197	CTD-18S-213	2418
asv_0D4_00199	CTD-18S-213	119
asv_0D4_00202	CTD-18S-213	672
asv_0D4_00217	CTD-18S-213	180
asv_0D4_00219	CTD-18S-213	906
asv_0D4_00220	CTD-18S-213	172
asv_0D4_00221	CTD-18S-213	91
asv_0D4_00222	CTD-18S-213	18
asv_0D4_00228	CTD-18S-213	263
asv_0D4_00229	CTD-18S-213	71
asv_0D4_00233	CTD-18S-213	85
asv_0D4_00234	CTD-18S-213	16
asv_0D4_00237	CTD-18S-213	20
asv_0D4_00239	CTD-18S-213	87
asv_0D4_00249	CTD-18S-213	455
asv_0D4_00252	CTD-18S-213	141
asv_0D4_00256	CTD-18S-213	209
asv_0D4_00265	CTD-18S-213	447
asv_0D4_00268	CTD-18S-213	471
asv_0D4_00269	CTD-18S-213	22
asv_0D4_00272	CTD-18S-213	102
asv_0D4_00279	CTD-18S-213	379
asv_0D4_00289	CTD-18S-213	11
asv_0D4_00295	CTD-18S-213	369
asv_0D4_00299	CTD-18S-213	11
asv_0D4_00307	CTD-18S-213	133
asv_0D4_00309	CTD-18S-213	55
asv_0D4_00320	CTD-18S-213	104
asv_0D4_00324	CTD-18S-213	161
asv_0D4_00329	CTD-18S-213	10
asv_0D4_00331	CTD-18S-213	97
asv_0D4_00344	CTD-18S-213	14
asv_0D4_00345	CTD-18S-213	58
asv_0D4_00365	CTD-18S-213	325
asv_0D4_00371	CTD-18S-213	116
asv_0D4_00385	CTD-18S-213	20
asv_0D4_00392	CTD-18S-213	5
asv_0D4_00414	CTD-18S-213	47
asv_0D4_00429	CTD-18S-213	129
asv_0D4_00430	CTD-18S-213	210
asv_0D4_00447	CTD-18S-213	5
asv_0D4_00466	CTD-18S-213	196
asv_0D4_00470	CTD-18S-213	7
asv_0D4_00477	CTD-18S-213	28
asv_0D4_00478	CTD-18S-213	20
asv_0D4_00494	CTD-18S-213	26
asv_0D4_00495	CTD-18S-213	20
asv_0D4_00514	CTD-18S-213	26
asv_0D4_00519	CTD-18S-213	188
asv_0D4_00526	CTD-18S-213	21
asv_0D4_00530	CTD-18S-213	13
asv_0D4_00534	CTD-18S-213	151
asv_0D4_00547	CTD-18S-213	38
asv_0D4_00548	CTD-18S-213	83
asv_0D4_00552	CTD-18S-213	5
asv_0D4_00558	CTD-18S-213	11
asv_0D4_00560	CTD-18S-213	42
asv_0D4_00574	CTD-18S-213	38
asv_0D4_00580	CTD-18S-213	27
asv_0D4_00585	CTD-18S-213	191
asv_0D4_00590	CTD-18S-213	87
asv_0D4_00591	CTD-18S-213	46
asv_0D4_00601	CTD-18S-213	60
asv_0D4_00610	CTD-18S-213	12
asv_0D4_00622	CTD-18S-213	39
asv_0D4_00630	CTD-18S-213	25
asv_0D4_00633	CTD-18S-213	52
asv_0D4_00643	CTD-18S-213	17
asv_0D4_00648	CTD-18S-213	6
asv_0D4_00660	CTD-18S-213	98
asv_0D4_00693	CTD-18S-213	34
asv_0D4_00697	CTD-18S-213	63
asv_0D4_00698	CTD-18S-213	26
asv_0D4_00717	CTD-18S-213	16
asv_0D4_00723	CTD-18S-213	19
asv_0D4_00739	CTD-18S-213	210
asv_0D4_00750	CTD-18S-213	120
asv_0D4_00763	CTD-18S-213	74
asv_0D4_00766	CTD-18S-213	48
asv_0D4_00769	CTD-18S-213	7
asv_0D4_00782	CTD-18S-213	37
asv_0D4_00787	CTD-18S-213	31
asv_0D4_00821	CTD-18S-213	16
asv_0D4_00831	CTD-18S-213	17
asv_0D4_00841	CTD-18S-213	16
asv_0D4_00842	CTD-18S-213	87
asv_0D4_00857	CTD-18S-213	54
asv_0D4_00887	CTD-18S-213	13
asv_0D4_00911	CTD-18S-213	12
asv_0D4_00921	CTD-18S-213	48
asv_0D4_00946	CTD-18S-213	8
asv_0D4_00953	CTD-18S-213	14
asv_0D4_00989	CTD-18S-213	25
asv_0D4_01020	CTD-18S-213	10
asv_0D4_01024	CTD-18S-213	18
asv_0D4_01041	CTD-18S-213	44
asv_0D4_01058	CTD-18S-213	34
asv_0D4_01095	CTD-18S-213	32
asv_0D4_01176	CTD-18S-213	24
asv_0D4_01177	CTD-18S-213	20
asv_0D4_01184	CTD-18S-213	10
asv_0D4_01198	CTD-18S-213	35
asv_0D4_01202	CTD-18S-213	22
asv_0D4_01203	CTD-18S-213	16
asv_0D4_01204	CTD-18S-213	15
asv_0D4_01263	CTD-18S-213	6
asv_0D4_01337	CTD-18S-213	43
asv_0D4_01359	CTD-18S-213	67
asv_0D4_01375	CTD-18S-213	19
asv_0D4_01388	CTD-18S-213	24
asv_0D4_01398	CTD-18S-213	20
asv_0D4_01399	CTD-18S-213	15
asv_0D4_01415	CTD-18S-213	14
asv_0D4_01433	CTD-18S-213	16
asv_0D4_01434	CTD-18S-213	14
asv_0D4_01442	CTD-18S-213	11
asv_0D4_01452	CTD-18S-213	19
asv_0D4_01453	CTD-18S-213	19
asv_0D4_01472	CTD-18S-213	6
asv_0D4_01489	CTD-18S-213	7
asv_0D4_01490	CTD-18S-213	6
asv_0D4_01526	CTD-18S-213	24
asv_0D4_01527	CTD-18S-213	22
asv_0D4_01528	CTD-18S-213	16
asv_0D4_01560	CTD-18S-213	8
asv_0D4_01569	CTD-18S-213	5
asv_0D4_01605	CTD-18S-213	11
asv_0D4_01612	CTD-18S-213	2
asv_0D4_01644	CTD-18S-213	37
asv_0D4_01716	CTD-18S-213	21
asv_0D4_01820	CTD-18S-213	10
asv_0D4_01821	CTD-18S-213	8
asv_0D4_01822	CTD-18S-213	6
asv_0D4_01835	CTD-18S-213	22
asv_0D4_01846	CTD-18S-213	9
asv_0D4_01864	CTD-18S-213	12
asv_0D4_01936	CTD-18S-213	5
asv_0D4_01937	CTD-18S-213	3
asv_0D4_01955	CTD-18S-213	15
asv_0D4_01975	CTD-18S-213	14
asv_0D4_02022	CTD-18S-213	7
asv_0D4_02046	CTD-18S-213	11
asv_0D4_02069	CTD-18S-213	10
asv_0D4_02070	CTD-18S-213	10
asv_0D4_02100	CTD-18S-213	5
asv_0D4_02170	CTD-18S-213	7
asv_0D4_02171	CTD-18S-213	7
asv_0D4_02172	CTD-18S-213	7
asv_0D4_02173	CTD-18S-213	7
asv_0D4_02174	CTD-18S-213	5
asv_0D4_02204	CTD-18S-213	6
asv_0D4_02205	CTD-18S-213	6
asv_0D4_02206	CTD-18S-213	6
asv_0D4_02242	CTD-18S-213	5
asv_0D4_02270	CTD-18S-213	4
asv_0D4_02271	CTD-18S-213	4
asv_0D4_02337	CTD-18S-213	2
asv_0D4_00001	CTD-18S-214	56
asv_0D4_00002	CTD-18S-214	1644
asv_0D4_00003	CTD-18S-214	863
asv_0D4_00004	CTD-18S-214	87
asv_0D4_00005	CTD-18S-214	2001
asv_0D4_00006	CTD-18S-214	488
asv_0D4_00007	CTD-18S-214	27
asv_0D4_00009	CTD-18S-214	380
asv_0D4_00011	CTD-18S-214	370
asv_0D4_00012	CTD-18S-214	16
asv_0D4_00013	CTD-18S-214	187
asv_0D4_00015	CTD-18S-214	119
asv_0D4_00017	CTD-18S-214	442
asv_0D4_00018	CTD-18S-214	93
asv_0D4_00019	CTD-18S-214	72
asv_0D4_00020	CTD-18S-214	355
asv_0D4_00021	CTD-18S-214	106
asv_0D4_00022	CTD-18S-214	33
asv_0D4_00023	CTD-18S-214	8
asv_0D4_00024	CTD-18S-214	14
asv_0D4_00025	CTD-18S-214	135
asv_0D4_00028	CTD-18S-214	155
asv_0D4_00032	CTD-18S-214	7
asv_0D4_00034	CTD-18S-214	276
asv_0D4_00035	CTD-18S-214	23
asv_0D4_00037	CTD-18S-214	493
asv_0D4_00038	CTD-18S-214	394
asv_0D4_00041	CTD-18S-214	137
asv_0D4_00042	CTD-18S-214	86
asv_0D4_00043	CTD-18S-214	62
asv_0D4_00046	CTD-18S-214	69
asv_0D4_00047	CTD-18S-214	165
asv_0D4_00049	CTD-18S-214	51
asv_0D4_00051	CTD-18S-214	52
asv_0D4_00055	CTD-18S-214	193
asv_0D4_00061	CTD-18S-214	33
asv_0D4_00063	CTD-18S-214	60
asv_0D4_00069	CTD-18S-214	44
asv_0D4_00070	CTD-18S-214	1463
asv_0D4_00073	CTD-18S-214	15
asv_0D4_00078	CTD-18S-214	870
