reads.in	reads.out
46900	12347
39045	14203
35867	8661
39853	13093
52308	19246
45592	15238
38545	11657
42258	10912
37974	10696
40473	11827
43179	13818
38758	11781
43614	12619
41492	11757
40830	12073
45351	13089
40579	11857
44062	11443
46615	12824
32616	6675
38190	11231
42582	12643
37734	10259
43265	12835
35003	9988
42155	12682
41033	10800
42480	11300
39577	11488
43452	12036
36659	10301
45563	13187
39273	11432
44518	12783
47097	13658
35916	9421
42468	11795
44564	13611
41352	11340
42151	12216
35969	10578
40147	11816
43701	13525
43431	12865
35699	9986
47002	13103
36930	11766
46025	16449
42526	13645
45231	12706
44899	13280
38090	11682
38023	11129
39637	12848
35382	11399
43627	12418
45962	11871
40419	11204
45674	13171
43597	11370
41406	11841
42247	15234
38429	11536
42785	12391
44418	16371
47799	15893
46404	16026
40377	11454
39323	11159
39877	10319
45286	15923
