asv_code	file_code	n_reads
asv_D1.5_00001	CTD-NpetB-128	3207
asv_D1.5_00002	CTD-NpetB-128	2080
asv_D1.5_00003	CTD-NpetB-128	1710
asv_D1.5_00004	CTD-NpetB-128	1239
asv_D1.5_00005	CTD-NpetB-128	1591
asv_D1.5_00006	CTD-NpetB-128	419
asv_D1.5_00007	CTD-NpetB-128	914
asv_D1.5_00008	CTD-NpetB-128	674
asv_D1.5_00009	CTD-NpetB-128	948
asv_D1.5_00010	CTD-NpetB-128	415
asv_D1.5_00011	CTD-NpetB-128	540
asv_D1.5_00012	CTD-NpetB-128	460
asv_D1.5_00013	CTD-NpetB-128	117
asv_D1.5_00014	CTD-NpetB-128	447
asv_D1.5_00016	CTD-NpetB-128	538
asv_D1.5_00017	CTD-NpetB-128	202
asv_D1.5_00018	CTD-NpetB-128	80
asv_D1.5_00019	CTD-NpetB-128	424
asv_D1.5_00020	CTD-NpetB-128	127
asv_D1.5_00021	CTD-NpetB-128	342
asv_D1.5_00022	CTD-NpetB-128	195
asv_D1.5_00023	CTD-NpetB-128	329
asv_D1.5_00024	CTD-NpetB-128	268
asv_D1.5_00025	CTD-NpetB-128	98
asv_D1.5_00026	CTD-NpetB-128	335
asv_D1.5_00027	CTD-NpetB-128	69
asv_D1.5_00028	CTD-NpetB-128	421
asv_D1.5_00029	CTD-NpetB-128	234
asv_D1.5_00030	CTD-NpetB-128	289
asv_D1.5_00031	CTD-NpetB-128	155
asv_D1.5_00032	CTD-NpetB-128	33
asv_D1.5_00033	CTD-NpetB-128	42
asv_D1.5_00034	CTD-NpetB-128	104
asv_D1.5_00037	CTD-NpetB-128	222
asv_D1.5_00039	CTD-NpetB-128	130
asv_D1.5_00041	CTD-NpetB-128	172
asv_D1.5_00043	CTD-NpetB-128	148
asv_D1.5_00045	CTD-NpetB-128	114
asv_D1.5_00046	CTD-NpetB-128	137
asv_D1.5_00049	CTD-NpetB-128	190
asv_D1.5_00050	CTD-NpetB-128	46
asv_D1.5_00052	CTD-NpetB-128	175
asv_D1.5_00053	CTD-NpetB-128	79
asv_D1.5_00054	CTD-NpetB-128	223
asv_D1.5_00057	CTD-NpetB-128	129
asv_D1.5_00059	CTD-NpetB-128	144
asv_D1.5_00060	CTD-NpetB-128	65
asv_D1.5_00063	CTD-NpetB-128	242
asv_D1.5_00064	CTD-NpetB-128	154
asv_D1.5_00066	CTD-NpetB-128	19
asv_D1.5_00067	CTD-NpetB-128	69
asv_D1.5_00068	CTD-NpetB-128	104
asv_D1.5_00069	CTD-NpetB-128	171
asv_D1.5_00070	CTD-NpetB-128	50
asv_D1.5_00073	CTD-NpetB-128	243
asv_D1.5_00074	CTD-NpetB-128	61
asv_D1.5_00075	CTD-NpetB-128	76
asv_D1.5_00077	CTD-NpetB-128	77
asv_D1.5_00079	CTD-NpetB-128	30
asv_D1.5_00081	CTD-NpetB-128	92
