reads.in	reads.out
53013	51675
56933	56279
49250	48548
55686	54575
50206	49788
45730	45256
52523	52163
52053	49464
54843	51187
57043	54488
57526	56322
57706	56956
44917	43214
62219	59759
43962	42179
45715	43877
47819	45908
50050	49104
44542	43082
50286	48228
48382	46625
48471	46765
57981	54989
51087	48109
42580	41728
45945	43651
39911	39071
47621	46146
42227	40720
49591	47750
53333	51109
51794	50558
47530	46318
52019	50592
43087	42247
48631	46938
46621	44035
53160	52633
44366	42654
49951	49256
52367	50586
41343	39588
41524	40445
50133	49012
49085	47842
41792	40338
44053	42429
47162	46628
45295	44305
55610	54974
52895	51786
48988	47808
51179	50393
45145	44447
51074	50381
47059	46480
51530	50710
47621	46835
51517	50340
51900	51033
56618	55881
57274	56421
52078	51628
54094	53416
63152	62138
57699	57022
52628	52127
56276	55517
41109	40811
51058	50599
50731	50367
