asv_code	file_code	n_reads
asv_D1.4_00001	syn-01-10	285
asv_D1.4_00002	syn-01-10	356
asv_D1.4_00004	syn-01-10	4170
asv_D1.4_00005	syn-01-10	3443
asv_D1.4_00007	syn-01-10	3432
asv_D1.4_00008	syn-01-10	808
asv_D1.4_00009	syn-01-10	1606
asv_D1.4_00011	syn-01-10	255
asv_D1.4_00012	syn-01-10	134
asv_D1.4_00014	syn-01-10	1673
asv_D1.4_00017	syn-01-10	92
asv_D1.4_00023	syn-01-10	831
asv_D1.4_00024	syn-01-10	7843
asv_D1.4_00038	syn-01-10	381
asv_D1.4_00041	syn-01-10	229
asv_D1.4_00046	syn-01-10	128
asv_D1.4_00050	syn-01-10	17
asv_D1.4_00057	syn-01-10	66
asv_D1.4_00061	syn-01-10	29
asv_D1.4_00066	syn-01-10	112
asv_D1.4_00068	syn-01-10	93
asv_D1.4_00094	syn-01-10	439
asv_D1.4_00119	syn-01-10	34
asv_D1.4_00125	syn-01-10	69
asv_D1.4_00138	syn-01-10	4226
asv_D1.4_00157	syn-01-10	27
asv_D1.4_00159	syn-01-10	55
asv_D1.4_00171	syn-01-10	96
asv_D1.4_00190	syn-01-10	149
asv_D1.4_00192	syn-01-10	39
asv_D1.4_00198	syn-01-10	79
asv_D1.4_00199	syn-01-10	179
asv_D1.4_00210	syn-01-10	39
asv_D1.4_00233	syn-01-10	2224
asv_D1.4_00257	syn-01-10	14
asv_D1.4_00271	syn-01-10	364
asv_D1.4_00274	syn-01-10	228
asv_D1.4_00325	syn-01-10	624
asv_D1.4_00373	syn-01-10	30
asv_D1.4_00493	syn-01-10	40
asv_D1.4_00582	syn-01-10	28
asv_D1.4_00600	syn-01-10	16
asv_D1.4_00665	syn-01-10	72
asv_D1.4_00724	syn-01-10	159
asv_D1.4_00828	syn-01-10	189
asv_D1.4_00896	syn-01-10	109
asv_D1.4_00934	syn-01-10	134
asv_D1.4_00967	syn-01-10	92
asv_D1.4_00972	syn-01-10	106
asv_D1.4_00980	syn-01-10	100
asv_D1.4_00987	syn-01-10	98
asv_D1.4_01017	syn-01-10	81
asv_D1.4_01066	syn-01-10	61
asv_D1.4_01091	syn-01-10	49
asv_D1.4_01218	syn-01-10	12
asv_D1.4_00001	syn-01-20	1189
asv_D1.4_00002	syn-01-20	881
asv_D1.4_00003	syn-01-20	483
asv_D1.4_00004	syn-01-20	2747
asv_D1.4_00005	syn-01-20	1022
asv_D1.4_00007	syn-01-20	288
asv_D1.4_00008	syn-01-20	771
asv_D1.4_00011	syn-01-20	639
asv_D1.4_00012	syn-01-20	546
asv_D1.4_00014	syn-01-20	147
asv_D1.4_00017	syn-01-20	880
asv_D1.4_00023	syn-01-20	91
asv_D1.4_00025	syn-01-20	520
asv_D1.4_00030	syn-01-20	190
asv_D1.4_00031	syn-01-20	271
asv_D1.4_00040	syn-01-20	90
asv_D1.4_00041	syn-01-20	202
asv_D1.4_00045	syn-01-20	187
asv_D1.4_00046	syn-01-20	230
asv_D1.4_00056	syn-01-20	385
asv_D1.4_00062	syn-01-20	252
asv_D1.4_00067	syn-01-20	207
asv_D1.4_00068	syn-01-20	109
asv_D1.4_00070	syn-01-20	107
asv_D1.4_00074	syn-01-20	2026
asv_D1.4_00079	syn-01-20	70
asv_D1.4_00083	syn-01-20	2388
asv_D1.4_00090	syn-01-20	157
asv_D1.4_00096	syn-01-20	177
asv_D1.4_00101	syn-01-20	1669
asv_D1.4_00108	syn-01-20	273
asv_D1.4_00112	syn-01-20	282
asv_D1.4_00129	syn-01-20	3004
asv_D1.4_00133	syn-01-20	181
asv_D1.4_00134	syn-01-20	111
asv_D1.4_00145	syn-01-20	124
asv_D1.4_00150	syn-01-20	149
asv_D1.4_00158	syn-01-20	1528
asv_D1.4_00189	syn-01-20	500
asv_D1.4_00190	syn-01-20	156
asv_D1.4_00192	syn-01-20	1885
asv_D1.4_00200	syn-01-20	834
asv_D1.4_00203	syn-01-20	113
asv_D1.4_00236	syn-01-20	509
asv_D1.4_00244	syn-01-20	1709
asv_D1.4_00253	syn-01-20	265
asv_D1.4_00258	syn-01-20	251
asv_D1.4_00275	syn-01-20	47
asv_D1.4_00280	syn-01-20	57
asv_D1.4_00297	syn-01-20	1742
asv_D1.4_00310	syn-01-20	77
asv_D1.4_00327	syn-01-20	292
asv_D1.4_00343	syn-01-20	56
asv_D1.4_00362	syn-01-20	839
asv_D1.4_00379	syn-01-20	337
asv_D1.4_00380	syn-01-20	203
asv_D1.4_00425	syn-01-20	111
asv_D1.4_00498	syn-01-20	811
asv_D1.4_00516	syn-01-20	771
asv_D1.4_00520	syn-01-20	55
asv_D1.4_00563	syn-01-20	37
asv_D1.4_00600	syn-01-20	24
asv_D1.4_00604	syn-01-20	574
asv_D1.4_00606	syn-01-20	303
asv_D1.4_00784	syn-01-20	298
asv_D1.4_00864	syn-01-20	204
asv_D1.4_00954	syn-01-20	101
asv_D1.4_00978	syn-01-20	102
asv_D1.4_01064	syn-01-20	63
asv_D1.4_01085	syn-01-20	51
asv_D1.4_01189	syn-01-20	19
asv_D1.4_01208	syn-01-20	14
asv_D1.4_01296	syn-01-20	2
asv_D1.4_00001	syn-02-10	720
asv_D1.4_00002	syn-02-10	340
asv_D1.4_00003	syn-02-10	79
asv_D1.4_00004	syn-02-10	5203
asv_D1.4_00005	syn-02-10	243
asv_D1.4_00008	syn-02-10	3164
asv_D1.4_00009	syn-02-10	37
asv_D1.4_00011	syn-02-10	985
asv_D1.4_00014	syn-02-10	551
asv_D1.4_00020	syn-02-10	113
asv_D1.4_00022	syn-02-10	212
asv_D1.4_00023	syn-02-10	953
asv_D1.4_00026	syn-02-10	2640
asv_D1.4_00028	syn-02-10	37
asv_D1.4_00038	syn-02-10	1421
asv_D1.4_00043	syn-02-10	107
asv_D1.4_00047	syn-02-10	99
asv_D1.4_00053	syn-02-10	238
asv_D1.4_00056	syn-02-10	2000
asv_D1.4_00062	syn-02-10	1632
asv_D1.4_00067	syn-02-10	261
asv_D1.4_00068	syn-02-10	1006
asv_D1.4_00070	syn-02-10	119
asv_D1.4_00073	syn-02-10	1838
asv_D1.4_00075	syn-02-10	68
asv_D1.4_00079	syn-02-10	36
asv_D1.4_00096	syn-02-10	849
asv_D1.4_00113	syn-02-10	36
asv_D1.4_00129	syn-02-10	82
asv_D1.4_00140	syn-02-10	124
asv_D1.4_00142	syn-02-10	147
asv_D1.4_00154	syn-02-10	2062
asv_D1.4_00157	syn-02-10	158
asv_D1.4_00190	syn-02-10	41
asv_D1.4_00193	syn-02-10	141
asv_D1.4_00212	syn-02-10	115
asv_D1.4_00223	syn-02-10	2382
asv_D1.4_00249	syn-02-10	148
asv_D1.4_00265	syn-02-10	38
asv_D1.4_00275	syn-02-10	27
asv_D1.4_00362	syn-02-10	63
asv_D1.4_00386	syn-02-10	512
asv_D1.4_00401	syn-02-10	63
asv_D1.4_00542	syn-02-10	35
asv_D1.4_00600	syn-02-10	18
asv_D1.4_00703	syn-02-10	118
asv_D1.4_00717	syn-02-10	137
asv_D1.4_00747	syn-02-10	108
asv_D1.4_00767	syn-02-10	8
asv_D1.4_00798	syn-02-10	99
asv_D1.4_00812	syn-02-10	55
asv_D1.4_00852	syn-02-10	224
asv_D1.4_00977	syn-02-10	103
asv_D1.4_01004	syn-02-10	86
asv_D1.4_01044	syn-02-10	68
asv_D1.4_01080	syn-02-10	53
asv_D1.4_01093	syn-02-10	47
asv_D1.4_01116	syn-02-10	39
asv_D1.4_01145	syn-02-10	28
asv_D1.4_01150	syn-02-10	13
asv_D1.4_01174	syn-02-10	22
asv_D1.4_01184	syn-02-10	12
asv_D1.4_01219	syn-02-10	12
asv_D1.4_01275	syn-02-10	4
asv_D1.4_01285	syn-02-10	3
asv_D1.4_00001	syn-02-5	589
asv_D1.4_00002	syn-02-5	4298
asv_D1.4_00003	syn-02-5	203
asv_D1.4_00004	syn-02-5	1243
asv_D1.4_00005	syn-02-5	146
asv_D1.4_00008	syn-02-5	578
asv_D1.4_00010	syn-02-5	272
asv_D1.4_00011	syn-02-5	304
asv_D1.4_00012	syn-02-5	2378
asv_D1.4_00013	syn-02-5	78
asv_D1.4_00016	syn-02-5	50
asv_D1.4_00017	syn-02-5	290
asv_D1.4_00020	syn-02-5	281
asv_D1.4_00023	syn-02-5	162
