asv_code	file_code	n_reads
asv_0D2_00001	CTD-NpetB-128	2825
asv_0D2_00002	CTD-NpetB-128	5357
asv_0D2_00003	CTD-NpetB-128	2488
asv_0D2_00004	CTD-NpetB-128	2177
asv_0D2_00005	CTD-NpetB-128	604
asv_0D2_00006	CTD-NpetB-128	442
asv_0D2_00007	CTD-NpetB-128	195
asv_0D2_00008	CTD-NpetB-128	1608
asv_0D2_00009	CTD-NpetB-128	1318
asv_0D2_00010	CTD-NpetB-128	382
asv_0D2_00011	CTD-NpetB-128	282
asv_0D2_00012	CTD-NpetB-128	1408
asv_0D2_00013	CTD-NpetB-128	276
asv_0D2_00014	CTD-NpetB-128	590
asv_0D2_00015	CTD-NpetB-128	149
asv_0D2_00016	CTD-NpetB-128	355
asv_0D2_00017	CTD-NpetB-128	401
asv_0D2_00018	CTD-NpetB-128	527
asv_0D2_00019	CTD-NpetB-128	136
asv_0D2_00020	CTD-NpetB-128	280
asv_0D2_00021	CTD-NpetB-128	249
asv_0D2_00022	CTD-NpetB-128	175
asv_0D2_00023	CTD-NpetB-128	109
asv_0D2_00025	CTD-NpetB-128	375
asv_0D2_00026	CTD-NpetB-128	120
asv_0D2_00027	CTD-NpetB-128	109
asv_0D2_00028	CTD-NpetB-128	288
asv_0D2_00029	CTD-NpetB-128	392
asv_0D2_00030	CTD-NpetB-128	228
asv_0D2_00031	CTD-NpetB-128	53
asv_0D2_00032	CTD-NpetB-128	217
asv_0D2_00033	CTD-NpetB-128	19
asv_0D2_00037	CTD-NpetB-128	500
asv_0D2_00043	CTD-NpetB-128	163
asv_0D2_00044	CTD-NpetB-128	313
asv_0D2_00045	CTD-NpetB-128	216
asv_0D2_00046	CTD-NpetB-128	306
asv_0D2_00047	CTD-NpetB-128	90
asv_0D2_00048	CTD-NpetB-128	82
asv_0D2_00049	CTD-NpetB-128	96
asv_0D2_00050	CTD-NpetB-128	39
asv_0D2_00052	CTD-NpetB-128	28
asv_0D2_00061	CTD-NpetB-128	125
asv_0D2_00066	CTD-NpetB-128	71
asv_0D2_00067	CTD-NpetB-128	228
asv_0D2_00071	CTD-NpetB-128	109
asv_0D2_00072	CTD-NpetB-128	110
asv_0D2_00074	CTD-NpetB-128	57
asv_0D2_00076	CTD-NpetB-128	36
asv_0D2_00077	CTD-NpetB-128	63
asv_0D2_00081	CTD-NpetB-128	69
asv_0D2_00083	CTD-NpetB-128	70
asv_0D2_00085	CTD-NpetB-128	32
asv_0D2_00089	CTD-NpetB-128	50
asv_0D2_00092	CTD-NpetB-128	177
asv_0D2_00093	CTD-NpetB-128	68
asv_0D2_00096	CTD-NpetB-128	36
asv_0D2_00101	CTD-NpetB-128	48
asv_0D2_00103	CTD-NpetB-128	41
asv_0D2_00105	CTD-NpetB-128	39
asv_0D2_00106	CTD-NpetB-128	128
asv_0D2_00108	CTD-NpetB-128	89
asv_0D2_00116	CTD-NpetB-128	46
asv_0D2_00118	CTD-NpetB-128	145
asv_0D2_00119	CTD-NpetB-128	27
asv_0D2_00125	CTD-NpetB-128	20
asv_0D2_00136	CTD-NpetB-128	31
asv_0D2_00137	CTD-NpetB-128	32
asv_0D2_00146	CTD-NpetB-128	36
asv_0D2_00155	CTD-NpetB-128	109
asv_0D2_00157	CTD-NpetB-128	41
asv_0D2_00162	CTD-NpetB-128	22
asv_0D2_00178	CTD-NpetB-128	21
asv_0D2_00190	CTD-NpetB-128	40
asv_0D2_00192	CTD-NpetB-128	31
asv_0D2_00197	CTD-NpetB-128	18
asv_0D2_00199	CTD-NpetB-128	50
asv_0D2_00200	CTD-NpetB-128	39
asv_0D2_00202	CTD-NpetB-128	57
asv_0D2_00203	CTD-NpetB-128	50
asv_0D2_00214	CTD-NpetB-128	35
asv_0D2_00226	CTD-NpetB-128	26
asv_0D2_00231	CTD-NpetB-128	54
asv_0D2_00248	CTD-NpetB-128	48
asv_0D2_00266	CTD-NpetB-128	31
asv_0D2_00278	CTD-NpetB-128	45
asv_0D2_00289	CTD-NpetB-128	43
asv_0D2_00292	CTD-NpetB-128	22
asv_0D2_00308	CTD-NpetB-128	56
asv_0D2_00338	CTD-NpetB-128	32
asv_0D2_00362	CTD-NpetB-128	30
asv_0D2_00382	CTD-NpetB-128	22
asv_0D2_00606	CTD-NpetB-128	17
asv_0D2_00669	CTD-NpetB-128	17
