cutadapt	filtered	denoised	tabled	nonchim	file_code
45540	44296	43943	43943	28966	CTD-NpetB-128
38133	37001	36752	36752	26564	CTD-NpetB-129
34678	33761	33335	33335	21960	CTD-NpetB-130
38323	37332	37181	37181	27793	CTD-NpetB-131
50554	49137	48805	48805	34822	CTD-NpetB-132
44032	42815	42520	42520	29443	CTD-NpetB-133
37405	36445	36054	36054	25597	CTD-NpetB-134
40796	39731	39320	39320	27837	CTD-NpetB-135
37527	36521	36117	36117	26386	CTD-NpetB-136
39758	38670	38163	38163	27221	CTD-NpetB-137
41887	40753	40430	40430	29647	CTD-NpetB-138
37297	36296	35835	35835	26851	CTD-NpetB-139
42878	41690	41249	41249	29947	CTD-NpetB-140
40653	39563	38989	38989	28313	CTD-NpetB-141
39465	38439	38129	38129	27208	CTD-NpetB-142
44908	43729	43246	43246	30273	CTD-NpetB-143
40122	39115	38751	38751	27053	CTD-NpetB-144
42913	41738	41211	41211	28288	CTD-NpetB-145
45753	44527	43913	43913	31424	CTD-NpetB-146
31691	30799	30407	30407	20835	CTD-NpetB-147
37219	36247	35869	35869	26263	CTD-NpetB-148
41230	40100	39561	39561	29090	CTD-NpetB-149
36557	35614	35314	35314	25819	CTD-NpetB-150
41972	40882	40531	40531	29413	CTD-NpetB-151
33823	32833	32543	32543	19538	CTD-NpetB-152
41237	40069	39673	39673	22828	CTD-NpetB-153
39761	38634	38128	38128	22649	CTD-NpetB-154
42069	40772	40276	40276	23031	CTD-NpetB-155
38077	36967	36433	36433	21113	CTD-NpetB-156
41666	40480	40015	40015	23377	CTD-NpetB-157
35155	34141	33883	33883	19454	CTD-NpetB-158
44352	43033	42606	42606	24614	CTD-NpetB-159
38037	36956	36543	36543	20608	CTD-NpetB-160
43838	42583	42140	42140	23582	CTD-NpetB-161
45540	44214	43703	43703	26074	CTD-NpetB-162
35200	34155	33800	33800	19949	CTD-NpetB-163
41551	40416	39932	39932	25114	CTD-NpetB-164
43625	42457	41866	41866	26314	CTD-NpetB-165
40075	38904	38340	38340	24066	CTD-NpetB-166
41538	40349	39929	39929	24832	CTD-NpetB-167
34922	33910	33534	33534	20811	CTD-NpetB-168
38481	37357	36749	36749	24659	CTD-NpetB-169
42059	40958	40457	40457	25778	CTD-NpetB-170
43321	42085	41382	41382	25376	CTD-NpetB-171
34617	33658	33072	33072	21485	CTD-NpetB-172
45313	44114	43485	43485	27268	CTD-NpetB-173
35881	34904	34584	34584	23737	CTD-NpetB-174
44516	43066	42648	42648	28485	CTD-NpetB-175
42389	41301	40935	40935	30040	CTD-NpetB-176
43781	42614	42149	42149	32107	CTD-NpetB-177
43555	42431	41974	41974	30616	CTD-NpetB-178
36729	35775	35260	35260	26367	CTD-NpetB-179
37424	36495	36173	36173	26276	CTD-NpetB-180
38504	37499	37087	37087	27465	CTD-NpetB-181
34094	33220	32842	32842	25190	CTD-NpetB-182
42363	41227	40713	40713	30286	CTD-NpetB-183
44770	43607	43143	43143	30516	CTD-NpetB-184
39654	38583	38208	38208	27862	CTD-NpetB-185
44010	42899	42423	42423	31710	CTD-NpetB-186
42336	41157	40805	40805	30254	CTD-NpetB-213
40501	39444	38936	38936	28761	CTD-NpetB-214
41959	40840	40333	40333	30094	CTD-NpetB-215
37356	36298	35779	35779	27226	CTD-NpetB-216
41855	40693	40118	40118	27477	CTD-NpetB-217
42909	41802	41527	41527	29812	CTD-NpetB-218
46468	45267	44872	44872	32312	CTD-NpetB-219
45292	44037	43631	43631	30429	CTD-NpetB-220
39462	38402	38039	38039	28052	CTD-NpetB-221
38291	37267	36891	36891	25399	CTD-NpetB-222
38533	37526	36858	36858	26656	CTD-NpetB-223
44247	43097	42631	42631	29744	CTD-NpetB-224
