reads.in	reads.out
37170	53
37553	40
25645	29
36881	39
50524	74
42306	56
30645	40
33855	28
32116	31
35147	49
37689	39
33975	41
35305	49
34482	54
33801	33
38909	47
32793	44
34030	58
36576	58
25229	23
30315	30
34335	35
29052	37
34187	43
27020	37
34709	32
31077	26
33477	36
29892	42
33537	40
28602	31
37502	38
30506	38
34676	31
37947	43
29241	40
35939	37
37230	43
32671	27
35161	35
30129	28
33436	49
35865	34
36355	40
27351	25
38733	35
30712	28
43685	54
38259	46
36928	78
36757	35
30150	34
30029	35
32847	30
28349	35
33597	38
33465	33
31896	39
36626	49
38180	57
35309	37
38954	55
31291	37
34628	41
40640	43
41137	50
41293	55
34356	47
31172	43
31914	29
38379	41
44159	77
45006	65
41714	42
38015	49
37739	38
54298	57
45458	43
51348	71
43118	74
44586	51
39876	109
41289	40
46093	45
43567	56
45183	63
40530	65
40126	46
51274	61
42094	51
43682	83
44094	54
43902	65
41990	57
54467	49
42838	51
50813	65
46860	61
41658	45
48926	67
49916	58
47767	66
44072	61
43487	48
47227	79
49215	65
46845	59
49739	63
46552	70
44534	71
42161	77
34717	46
43250	57
37771	45
48986	52
49238	56
51143	36
56213	49
48647	69
44725	37
45692	67
47887	95
55936	39
47660	54
41124	34
52790	104
40323	74
44311	42
43182	52
45647	68
49587	49
49366	50
44903	42
48281	60
38638	56
48280	60
44652	42
46712	56
45834	56
48160	55
47650	41
49102	54
44075	45
45268	42
43818	50
51840	51
45428	52
48947	108
46573	102
47407	56
47164	76
48291	57
48534	49
53541	67
50772	63
1286	3
