asv_code	file_code	n_reads
asv_0D3_00001	CTD-petB-128	1992
asv_0D3_00002	CTD-petB-128	3612
asv_0D3_00003	CTD-petB-128	900
asv_0D3_00004	CTD-petB-128	2050
asv_0D3_00005	CTD-petB-128	533
asv_0D3_00006	CTD-petB-128	696
asv_0D3_00007	CTD-petB-128	1385
asv_0D3_00008	CTD-petB-128	2216
asv_0D3_00009	CTD-petB-128	1423
asv_0D3_00010	CTD-petB-128	480
asv_0D3_00011	CTD-petB-128	560
asv_0D3_00012	CTD-petB-128	167
asv_0D3_00013	CTD-petB-128	685
asv_0D3_00014	CTD-petB-128	326
asv_0D3_00015	CTD-petB-128	593
asv_0D3_00016	CTD-petB-128	617
asv_0D3_00017	CTD-petB-128	463
asv_0D3_00018	CTD-petB-128	413
asv_0D3_00019	CTD-petB-128	83
asv_0D3_00020	CTD-petB-128	562
asv_0D3_00021	CTD-petB-128	511
asv_0D3_00022	CTD-petB-128	486
asv_0D3_00023	CTD-petB-128	281
asv_0D3_00025	CTD-petB-128	425
asv_0D3_00026	CTD-petB-128	230
asv_0D3_00027	CTD-petB-128	366
asv_0D3_00028	CTD-petB-128	415
asv_0D3_00029	CTD-petB-128	306
asv_0D3_00030	CTD-petB-128	456
asv_0D3_00031	CTD-petB-128	142
asv_0D3_00032	CTD-petB-128	397
asv_0D3_00033	CTD-petB-128	84
asv_0D3_00034	CTD-petB-128	314
asv_0D3_00035	CTD-petB-128	85
asv_0D3_00036	CTD-petB-128	304
asv_0D3_00037	CTD-petB-128	229
asv_0D3_00038	CTD-petB-128	76
asv_0D3_00040	CTD-petB-128	308
asv_0D3_00041	CTD-petB-128	351
asv_0D3_00042	CTD-petB-128	71
asv_0D3_00043	CTD-petB-128	146
asv_0D3_00044	CTD-petB-128	87
asv_0D3_00045	CTD-petB-128	255
asv_0D3_00046	CTD-petB-128	148
asv_0D3_00047	CTD-petB-128	172
asv_0D3_00049	CTD-petB-128	120
asv_0D3_00050	CTD-petB-128	356
asv_0D3_00051	CTD-petB-128	110
asv_0D3_00052	CTD-petB-128	83
asv_0D3_00053	CTD-petB-128	139
asv_0D3_00055	CTD-petB-128	71
asv_0D3_00057	CTD-petB-128	143
asv_0D3_00058	CTD-petB-128	275
asv_0D3_00059	CTD-petB-128	32
asv_0D3_00062	CTD-petB-128	86
asv_0D3_00063	CTD-petB-128	191
asv_0D3_00064	CTD-petB-128	166
asv_0D3_00065	CTD-petB-128	272
asv_0D3_00066	CTD-petB-128	184
asv_0D3_00068	CTD-petB-128	244
asv_0D3_00069	CTD-petB-128	76
asv_0D3_00070	CTD-petB-128	145
asv_0D3_00071	CTD-petB-128	230
asv_0D3_00073	CTD-petB-128	159
asv_0D3_00074	CTD-petB-128	70
asv_0D3_00075	CTD-petB-128	19
asv_0D3_00077	CTD-petB-128	131
asv_0D3_00079	CTD-petB-128	161
asv_0D3_00082	CTD-petB-128	88
asv_0D3_00083	CTD-petB-128	204
asv_0D3_00085	CTD-petB-128	151
asv_0D3_00086	CTD-petB-128	265
asv_0D3_00087	CTD-petB-128	157
asv_0D3_00088	CTD-petB-128	156
asv_0D3_00091	CTD-petB-128	194
asv_0D3_00093	CTD-petB-128	86
asv_0D3_00094	CTD-petB-128	158
asv_0D3_00095	CTD-petB-128	171
asv_0D3_00096	CTD-petB-128	134
asv_0D3_00097	CTD-petB-128	278
asv_0D3_00098	CTD-petB-128	226
asv_0D3_00100	CTD-petB-128	61
asv_0D3_00101	CTD-petB-128	73
asv_0D3_00102	CTD-petB-128	32
asv_0D3_00104	CTD-petB-128	32
