reads.in	reads.out
51340	49992
55598	54759
49147	48070
54776	53793
49084	48212
45840	45052
51776	51160
50815	47971
51900	47844
55310	51846
56136	54429
58199	56752
43981	40653
61246	58595
43359	41358
44426	42521
46893	44692
49519	48536
43413	42028
49516	47277
47008	45172
47654	46201
56970	54611
48154	46176
41173	40364
43064	41514
39180	37981
46213	44795
40860	39732
48211	46447
51495	49122
50425	49202
45534	44234
51431	49998
42000	41013
46939	44883
44661	41845
53193	52346
43093	40843
50485	49430
51061	48757
40489	38325
40935	38694
49621	48222
47662	46157
40293	38957
42573	40745
46285	45371
44632	42747
55855	54964
52004	50582
48173	46639
49877	48881
45223	44250
49790	48951
46119	45397
50359	49297
47473	46611
50971	49741
50980	49928
55681	54059
56508	55317
50841	50197
53498	52756
62345	61045
57943	56909
52284	51390
54575	53701
40494	39942
51509	50815
48936	48318
