asv_code	file_code	n_reads
asv_0D2_00001	CTD-NpetB-128	541
asv_0D2_00002	CTD-NpetB-128	95
asv_0D2_00003	CTD-NpetB-128	172
asv_0D2_00004	CTD-NpetB-128	103
asv_0D2_00005	CTD-NpetB-128	71
asv_0D2_00006	CTD-NpetB-128	214
asv_0D2_00007	CTD-NpetB-128	10
asv_0D2_00008	CTD-NpetB-128	59
asv_0D2_00009	CTD-NpetB-128	197
asv_0D2_00011	CTD-NpetB-128	89
asv_0D2_00012	CTD-NpetB-128	121
asv_0D2_00013	CTD-NpetB-128	116
asv_0D2_00014	CTD-NpetB-128	124
asv_0D2_00015	CTD-NpetB-128	15
asv_0D2_00016	CTD-NpetB-128	47
asv_0D2_00017	CTD-NpetB-128	175
asv_0D2_00023	CTD-NpetB-128	64
asv_0D2_00024	CTD-NpetB-128	101
asv_0D2_00025	CTD-NpetB-128	108
asv_0D2_00026	CTD-NpetB-128	80
asv_0D2_00027	CTD-NpetB-128	110
asv_0D2_00028	CTD-NpetB-128	45
asv_0D2_00029	CTD-NpetB-128	38
asv_0D2_00030	CTD-NpetB-128	34
asv_0D2_00031	CTD-NpetB-128	95
asv_0D2_00032	CTD-NpetB-128	28
asv_0D2_00033	CTD-NpetB-128	51
asv_0D2_00039	CTD-NpetB-128	9
asv_0D2_00041	CTD-NpetB-128	45
asv_0D2_00045	CTD-NpetB-128	40
asv_0D2_00046	CTD-NpetB-128	35
asv_0D2_00047	CTD-NpetB-128	45
asv_0D2_00049	CTD-NpetB-128	38
asv_0D2_00050	CTD-NpetB-128	12
asv_0D2_00053	CTD-NpetB-128	37
asv_0D2_00056	CTD-NpetB-128	51
asv_0D2_00059	CTD-NpetB-128	73
asv_0D2_00061	CTD-NpetB-128	53
asv_0D2_00065	CTD-NpetB-128	20
asv_0D2_00070	CTD-NpetB-128	44
asv_0D2_00071	CTD-NpetB-128	9
asv_0D2_00087	CTD-NpetB-128	15
asv_0D2_00088	CTD-NpetB-128	15
asv_0D2_00099	CTD-NpetB-128	25
asv_0D2_00127	CTD-NpetB-128	32
asv_0D2_00129	CTD-NpetB-128	13
asv_0D2_00150	CTD-NpetB-128	53
asv_0D2_00198	CTD-NpetB-128	15
asv_0D2_00244	CTD-NpetB-128	38
asv_0D2_00269	CTD-NpetB-128	10
asv_0D2_00301	CTD-NpetB-128	11
asv_0D2_00351	CTD-NpetB-128	10
asv_0D2_00372	CTD-NpetB-128	11
asv_0D2_00424	CTD-NpetB-128	14
asv_0D2_00707	CTD-NpetB-128	26
asv_0D2_00907	CTD-NpetB-128	10
asv_0D2_01678	CTD-NpetB-128	5
asv_0D2_01711	CTD-NpetB-128	19
asv_0D2_01733	CTD-NpetB-128	18
asv_0D2_02164	CTD-NpetB-128	2
asv_0D2_02415	CTD-NpetB-128	2
asv_0D2_02416	CTD-NpetB-128	2
asv_0D2_02697	CTD-NpetB-128	1
asv_0D2_00001	CTD-NpetB-129	91
asv_0D2_00002	CTD-NpetB-129	46
asv_0D2_00003	CTD-NpetB-129	122
asv_0D2_00004	CTD-NpetB-129	262
asv_0D2_00006	CTD-NpetB-129	90
asv_0D2_00007	CTD-NpetB-129	103
asv_0D2_00009	CTD-NpetB-129	70
asv_0D2_00012	CTD-NpetB-129	31
asv_0D2_00013	CTD-NpetB-129	43
asv_0D2_00014	CTD-NpetB-129	280
asv_0D2_00015	CTD-NpetB-129	18
asv_0D2_00016	CTD-NpetB-129	212
asv_0D2_00023	CTD-NpetB-129	103
asv_0D2_00024	CTD-NpetB-129	52
asv_0D2_00025	CTD-NpetB-129	16
asv_0D2_00026	CTD-NpetB-129	40
asv_0D2_00027	CTD-NpetB-129	11
asv_0D2_00028	CTD-NpetB-129	53
asv_0D2_00029	CTD-NpetB-129	5
asv_0D2_00033	CTD-NpetB-129	54
