			Mazard_2012						Ong_2022					
				% of  reads						% of  reads				
	Clade	Subclade	No. of ASVs	Mean	Max	Min	SD		No. of ASVs	Mean	Max	Min	SD	P-value
1	I	Ib	899	31.04	53.07	10.16	13.46		1444	46.73	56.32	29.30	4.33	4.07E-12
2	IV	IVb	1543	44.04	84.4	0.33	28		2023	31.40	44.39	0.35	14.99	2.33E-06
3	IV	IVa	934	20.39	83.48	0	27.6		1526	11.96	39.21	0.01	13.45	0.006
4	I	Ia	249	3.47	8.52	1.32	1.42		518	8.51	17.03	0	4.26	3.31E-12
5	CRD1		11	0.04	0.18	0	0.04		92	1.80	5.08	0	1.50	5.82E-11
6	EnvA		5	0.00	0.02	0	0.01		30	0.54	1.48	0	0.47	1.67E-06
7	EnvB		8	0.09	0.21	0.00	0.05		15	0.35	1.12	0.10	0.22	2.38E-07
8	WPC1		0						8	0.21	0.21	0.21		
9	II	IIh	0						11	0.19	0.26	0.07	0.09	
10	II	IIe	0						3	0.15	0.25	0.05	0.14	
11	UC-A		662	0.63	1.81	0.01	0.52		565	0.13	0.50	0.01	0.11	1.72E-09
12	I	Ic	26	0.16	0.79	0	0.16		21	0.04	0.26	0	0.06	2.57E-09
13	VI	VIb	0						4	0.02	0.03	0.02	0.01	
14	II	II-WPC2	374	0.23	2.26	0.01	0.39		44	0.01	0.32	0	0.04	1.20E-11
15	V		2	0.01	0.02	0	0.01		3	0.01	0.02	0	0.01	
16	VI	VIc	2	0.01	0.01	0.01	0.00		0					
17	II	IIb	1	0.10	0.10	0.10			0					
