	Clade	Subclade	ASV_mazard	mean_mazard	max_mazard	min_mazard	SD_mazard		ASV_ong	mean_ong	max_ong	min_ong	SD_ong	P value
1	I	Ib	899	31.04	53.07	10.16	13.46		1444	46.73	56.32	29.30	4.33	4.07E-12
2	IV	IVb	1543	44.04	84.40	0.33	28.00		2023	31.40	44.39	0.35	14.99	2.33E-06
3	IV	IVa	934	20.39	83.48	0.00	27.60		1526	11.96	39.21	0.01	13.45	6.17E-03
4	I	Ia	249	3.47	8.52	1.32	1.42		518	8.51	17.03	0.00	4.26	3.30E-12
5	CRD1	CRD1	11	1.88E-02	0.18	0.00	3.49E-02		92	0.93	5.08	0.00	1.40	5.82E-11
6	EnvA	EnvA	5	9.78E-04	2.28E-02	0.00	4.13E-03		30	0.18	1.48	0.00	0.37	1.67E-06
7	UC-A	UC-A	662	0.63	1.81	1.14E-02	0.52		565	0.13	0.50	9.98E-03	0.11	1.72E-09
8	EnvB	EnvB	8	2.84E-02	0.21	0.00	5.03E-02		15	0.11	1.12	0.00	0.21	2.38E-07
9	I	Ic	26	0.12	0.79	0.00	0.15		21	2.62E-02	0.26	0.00	5.03E-02	2.57E-09
10	II	II-WPC2	374	0.26	2.26	0.00	0.38		44	1.22E-02	0.32	0.00	3.96E-02	1.20E-11
11	II	IIh	0						11	1.07E-02	0.26	0.00	4.73E-02	
12	II	IIe	0						3	4.30E-03	0.25	0.00	3.05E-02	
13	WPC1	WPC1	0						8	3.01E-03	0.21	0.00	2.51E-02	
14	VI	VIb	0						4	1.00E-03	3.00E-02	0.00	4.86E-03	
15	V	V	2	3.26E-04	2.28E-02	0.00	2.73E-03		3	5.71E-04	2.00E-02	0.00	2.89E-03	0.87
16	VI	VIc	2	2.72E-04	1.14E-02	0.00	1.63E-03		0					
17	II	IIb	1	1.47E-03	0.10	0.00	1.23E-02		0					
