denoised	tabled	nonchim	file_code
12131	12131	9459	CTD-NpetB-128
14001	14001	10327	CTD-NpetB-129
8509	8509	6902	CTD-NpetB-130
12930	12930	9452	CTD-NpetB-131
19073	19073	12703	CTD-NpetB-132
15065	15065	10452	CTD-NpetB-133
11433	11433	8797	CTD-NpetB-134
10703	10703	8467	CTD-NpetB-135
10513	10513	8250	CTD-NpetB-136
11685	11685	9579	CTD-NpetB-137
13633	13633	11149	CTD-NpetB-138
11590	11590	9111	CTD-NpetB-139
12451	12451	10557	CTD-NpetB-140
11566	11566	9618	CTD-NpetB-141
11883	11883	9754	CTD-NpetB-142
12868	12868	10134	CTD-NpetB-143
11618	11618	9101	CTD-NpetB-144
11246	11246	8730	CTD-NpetB-145
12641	12641	10041	CTD-NpetB-146
6541	6541	5273	CTD-NpetB-147
11000	11000	9083	CTD-NpetB-148
12411	12411	10305	CTD-NpetB-149
10147	10147	8545	CTD-NpetB-150
12545	12545	10387	CTD-NpetB-151
9903	9903	6971	CTD-NpetB-152
12458	12458	8070	CTD-NpetB-153
10687	10687	7616	CTD-NpetB-154
11126	11126	7985	CTD-NpetB-155
11219	11219	8079	CTD-NpetB-156
11763	11763	8158	CTD-NpetB-157
10063	10063	7139	CTD-NpetB-158
12920	12920	8647	CTD-NpetB-159
11311	11311	7321	CTD-NpetB-160
12585	12585	8257	CTD-NpetB-161
13421	13421	9418	CTD-NpetB-162
9246	9246	6697	CTD-NpetB-163
11567	11567	8842	CTD-NpetB-164
13395	13395	9915	CTD-NpetB-165
11122	11122	8297	CTD-NpetB-166
12068	12068	9013	CTD-NpetB-167
10331	10331	8161	CTD-NpetB-168
11533	11533	9011	CTD-NpetB-169
13314	13314	10222	CTD-NpetB-170
12637	12637	9179	CTD-NpetB-171
9864	9864	7656	CTD-NpetB-172
12933	12933	10017	CTD-NpetB-173
11652	11652	9129	CTD-NpetB-174
16312	16312	10812	CTD-NpetB-175
13401	13401	10668	CTD-NpetB-176
12530	12530	10271	CTD-NpetB-177
13174	13174	10877	CTD-NpetB-178
11544	11544	9318	CTD-NpetB-179
10922	10922	8963	CTD-NpetB-180
12534	12534	10710	CTD-NpetB-181
11298	11298	9475	CTD-NpetB-182
12209	12209	9938	CTD-NpetB-183
11695	11695	9607	CTD-NpetB-184
11043	11043	9350	CTD-NpetB-185
13021	13021	10706	CTD-NpetB-186
11221	11221	9525	CTD-NpetB-213
11646	11646	9439	CTD-NpetB-214
14982	14982	11860	CTD-NpetB-215
11377	11377	9536	CTD-NpetB-216
12133	12133	9664	CTD-NpetB-217
16101	16101	12709	CTD-NpetB-218
15674	15674	11952	CTD-NpetB-219
15728	15728	11611	CTD-NpetB-220
11325	11325	9393	CTD-NpetB-221
10984	10984	8520	CTD-NpetB-222
10080	10080	8260	CTD-NpetB-223
15699	15699	12030	CTD-NpetB-224
