asv_code	file_code	n_reads
asv_D1.6_00001	CTD-petB-128	3299
asv_D1.6_00002	CTD-petB-128	1739
asv_D1.6_00003	CTD-petB-128	4286
asv_D1.6_00004	CTD-petB-128	3257
asv_D1.6_00005	CTD-petB-128	2105
asv_D1.6_00006	CTD-petB-128	515
asv_D1.6_00007	CTD-petB-128	1361
asv_D1.6_00008	CTD-petB-128	478
asv_D1.6_00009	CTD-petB-128	1437
asv_D1.6_00010	CTD-petB-128	918
asv_D1.6_00011	CTD-petB-128	757
asv_D1.6_00012	CTD-petB-128	455
asv_D1.6_00013	CTD-petB-128	980
asv_D1.6_00014	CTD-petB-128	364
asv_D1.6_00015	CTD-petB-128	720
asv_D1.6_00016	CTD-petB-128	391
asv_D1.6_00017	CTD-petB-128	505
asv_D1.6_00018	CTD-petB-128	440
asv_D1.6_00019	CTD-petB-128	74
asv_D1.6_00021	CTD-petB-128	648
asv_D1.6_00022	CTD-petB-128	484
asv_D1.6_00023	CTD-petB-128	254
asv_D1.6_00024	CTD-petB-128	505
asv_D1.6_00025	CTD-petB-128	295
asv_D1.6_00026	CTD-petB-128	366
asv_D1.6_00027	CTD-petB-128	97
asv_D1.6_00028	CTD-petB-128	78
asv_D1.6_00029	CTD-petB-128	307
asv_D1.6_00030	CTD-petB-128	78
asv_D1.6_00031	CTD-petB-128	126
asv_D1.6_00032	CTD-petB-128	147
asv_D1.6_00033	CTD-petB-128	265
asv_D1.6_00034	CTD-petB-128	354
asv_D1.6_00035	CTD-petB-128	85
asv_D1.6_00036	CTD-petB-128	94
asv_D1.6_00037	CTD-petB-128	284
asv_D1.6_00038	CTD-petB-128	376
asv_D1.6_00039	CTD-petB-128	294
asv_D1.6_00040	CTD-petB-128	120
asv_D1.6_00041	CTD-petB-128	184
asv_D1.6_00042	CTD-petB-128	268
asv_D1.6_00043	CTD-petB-128	143
asv_D1.6_00044	CTD-petB-128	133
asv_D1.6_00045	CTD-petB-128	79
asv_D1.6_00046	CTD-petB-128	29
asv_D1.6_00049	CTD-petB-128	239
asv_D1.6_00050	CTD-petB-128	186
asv_D1.6_00053	CTD-petB-128	165
asv_D1.6_00054	CTD-petB-128	271
asv_D1.6_00055	CTD-petB-128	37
asv_D1.6_00058	CTD-petB-128	104
asv_D1.6_00059	CTD-petB-128	296
