intput	filtered	denoised	tabled	nonchim	file_code
53013	51675	50163	50163	46279	CTD-petB-128
56933	56279	55311	55311	49808	CTD-petB-128-1
49250	48548	47832	47832	42688	CTD-petB-129
55686	54575	53105	53105	48058	CTD-petB-130
50206	49788	48979	48979	44440	CTD-petB-131
45730	45256	44672	44672	39915	CTD-petB-132
52523	52163	51491	51491	46938	CTD-petB-133
52053	49464	47232	47232	44361	CTD-petB-134
54843	51187	48535	48535	45764	CTD-petB-135
57043	54488	52022	52022	48745	CTD-petB-136
57526	56322	54316	54316	50519	CTD-petB-137
57706	56956	55613	55613	51820	CTD-petB-138
44917	43214	40652	40652	37764	CTD-petB-139
62219	59759	57499	57499	52574	CTD-petB-140
43962	42179	40060	40060	37418	CTD-petB-141
45715	43877	41934	41934	39155	CTD-petB-142
47819	45908	43400	43400	40142	CTD-petB-143
50050	49104	47855	47855	43856	CTD-petB-144
44542	43082	40860	40860	37464	CTD-petB-145
50286	48228	45872	45872	42581	CTD-petB-146
48382	46625	44616	44616	41246	CTD-petB-147
48471	46765	45174	45174	41509	CTD-petB-148
57981	54989	52604	52604	48423	CTD-petB-149
51087	48109	45534	45534	42086	CTD-petB-150
42580	41728	40299	40299	37153	CTD-petB-151
45945	43651	41616	41616	37677	CTD-petB-152
39911	39071	37715	37715	33081	CTD-petB-153
47621	46146	44727	44727	38692	CTD-petB-154
42227	40720	39511	39511	34704	CTD-petB-155
49591	47750	46329	46329	40659	CTD-petB-156
53333	51109	49168	49168	43911	CTD-petB-157
51794	50558	49296	49296	43353	CTD-petB-158
47530	46318	44975	44975	40990	CTD-petB-159
52019	50592	48620	48620	42967	CTD-petB-160
43087	42247	40841	40841	36413	CTD-petB-161
48631	46938	44762	44762	41452	CTD-petB-162
46621	44035	41332	41332	38828	CTD-petB-163
53160	52633	51102	51102	48184	CTD-petB-164
44366	42654	40540	40540	38963	CTD-petB-165
49951	49256	48132	48132	45421	CTD-petB-166
52367	50586	48266	48266	45520	CTD-petB-167
41343	39588	37219	37219	35894	CTD-petB-168
41524	40445	37865	37865	36437	CTD-petB-169
50133	49012	47439	47439	44196	CTD-petB-170
49085	47842	46229	46229	43400	CTD-petB-171
41792	40338	38422	38422	35809	CTD-petB-172
44053	42429	40539	40539	38455	CTD-petB-173
47162	46628	45254	45254	43142	CTD-petB-174
45295	44305	42824	42824	40206	CTD-petB-175
55610	54974	53844	53844	48623	CTD-petB-176
52895	51786	49897	49897	45819	CTD-petB-177
48988	47808	46196	46196	42345	CTD-petB-178
51179	50393	48853	48853	44447	CTD-petB-179
45145	44447	43181	43181	39752	CTD-petB-180
51074	50381	49280	49280	44684	CTD-petB-181
47059	46480	45696	45696	41445	CTD-petB-182
51530	50710	49126	49126	44375	CTD-petB-183
47621	46835	45202	45202	41600	CTD-petB-184
51517	50340	48621	48621	44678	CTD-petB-185
51900	51033	49652	49652	45602	CTD-petB-186
56618	55881	54523	54523	51347	CTD-petB-213
57274	56421	55118	55118	50229	CTD-petB-214
52078	51628	50851	50851	45979	CTD-petB-216
54094	53416	52217	52217	46670	CTD-petB-217
63152	62138	60697	60697	56266	CTD-petB-219
57699	57022	55737	55737	52024	CTD-petB-220
52628	52127	51315	51315	47335	CTD-petB-221
56276	55517	54381	54381	50002	CTD-petB-222
41109	40811	40128	40128	37540	CTD-petB-223
51058	50599	49766	49766	45938	CTD-petB-224
50731	50367	49670	49670	38106	CTD-petB-neg2
