asv_code	file_code	n_reads
asv_D1.1_00001	syn-01-10	178
asv_D1.1_00002	syn-01-10	666
asv_D1.1_00005	syn-01-10	109
asv_D1.1_00006	syn-01-10	973
asv_D1.1_00007	syn-01-10	18
asv_D1.1_00008	syn-01-10	219
asv_D1.1_00011	syn-01-10	457
asv_D1.1_00015	syn-01-10	98
asv_D1.1_00017	syn-01-10	1291
asv_D1.1_00018	syn-01-10	18
asv_D1.1_00024	syn-01-10	1716
asv_D1.1_00053	syn-01-10	81
asv_D1.1_00055	syn-01-10	523
asv_D1.1_00066	syn-01-10	233
asv_D1.1_00070	syn-01-10	27
asv_D1.1_00115	syn-01-10	22
asv_D1.1_00166	syn-01-10	530
asv_D1.1_00202	syn-01-10	58
asv_D1.1_00318	syn-01-10	192
asv_D1.1_00523	syn-01-10	46
asv_D1.1_00001	syn-01-20	1074
asv_D1.1_00002	syn-01-20	1279
asv_D1.1_00003	syn-01-20	107
asv_D1.1_00005	syn-01-20	185
asv_D1.1_00006	syn-01-20	372
asv_D1.1_00008	syn-01-20	155
asv_D1.1_00010	syn-01-20	98
asv_D1.1_00014	syn-01-20	20
asv_D1.1_00021	syn-01-20	68
asv_D1.1_00025	syn-01-20	54
asv_D1.1_00032	syn-01-20	65
asv_D1.1_00033	syn-01-20	60
asv_D1.1_00047	syn-01-20	37
asv_D1.1_00051	syn-01-20	39
asv_D1.1_00054	syn-01-20	51
asv_D1.1_00059	syn-01-20	529
asv_D1.1_00076	syn-01-20	46
asv_D1.1_00077	syn-01-20	74
asv_D1.1_00133	syn-01-20	266
asv_D1.1_00162	syn-01-20	49
asv_D1.1_00174	syn-01-20	47
asv_D1.1_00175	syn-01-20	393
asv_D1.1_00176	syn-01-20	267
asv_D1.1_00178	syn-01-20	13
asv_D1.1_00235	syn-01-20	68
asv_D1.1_00385	syn-01-20	143
asv_D1.1_00399	syn-01-20	130
asv_D1.1_00481	syn-01-20	72
asv_D1.1_00507	syn-01-20	59
asv_D1.1_00545	syn-01-20	32
asv_D1.1_00559	syn-01-20	21
asv_D1.1_00001	syn-02-10	287
asv_D1.1_00002	syn-02-10	927
asv_D1.1_00006	syn-02-10	269
asv_D1.1_00008	syn-02-10	341
asv_D1.1_00019	syn-02-10	269
asv_D1.1_00021	syn-02-10	8
asv_D1.1_00041	syn-02-10	319
asv_D1.1_00051	syn-02-10	29
asv_D1.1_00053	syn-02-10	62
asv_D1.1_00055	syn-02-10	24
asv_D1.1_00127	syn-02-10	227
asv_D1.1_00187	syn-02-10	206
asv_D1.1_00206	syn-02-10	209
asv_D1.1_00282	syn-02-10	173
asv_D1.1_00443	syn-02-10	15
asv_D1.1_00001	syn-02-5	261
asv_D1.1_00002	syn-02-5	655
asv_D1.1_00004	syn-02-5	784
asv_D1.1_00005	syn-02-5	140
asv_D1.1_00006	syn-02-5	305
asv_D1.1_00008	syn-02-5	818
asv_D1.1_00009	syn-02-5	16
asv_D1.1_00011	syn-02-5	78
asv_D1.1_00018	syn-02-5	65
asv_D1.1_00047	syn-02-5	20
asv_D1.1_00055	syn-02-5	34
asv_D1.1_00062	syn-02-5	1533
asv_D1.1_00065	syn-02-5	7
asv_D1.1_00070	syn-02-5	24
asv_D1.1_00143	syn-02-5	49
asv_D1.1_00193	syn-02-5	53
asv_D1.1_00255	syn-02-5	82
asv_D1.1_00448	syn-02-5	93
asv_D1.1_00570	syn-02-5	12
asv_D1.1_00001	syn-03-10	379
asv_D1.1_00002	syn-03-10	859
asv_D1.1_00005	syn-03-10	145
asv_D1.1_00006	syn-03-10	361
asv_D1.1_00007	syn-03-10	153
asv_D1.1_00008	syn-03-10	407
