			Cycle				
Clade or subclade	Amplification type		ST1	ST2	SA1	SA2	SA3
Ib	Mazard\_2012		20.62	38.76	45.92	19.05	15.96
	Ong\_2022		48.00	44.53	50.31	46.08	40.98
IVb	Mazard\_2012		0.56	22.57	45.45	76.26	76.81
	Ong\_2022		1.31	26.66	40.20	40.46	41.11
IVa	Mazard\_2012		74.72	33.13	5.10	0.33	1.06
	Ong\_2022		36.98	20.54	5.68	0.39	1.06
Ia	Mazard\_2012		3.45	4.74	2.76	2.51	4.67
	Ong\_2022		13.37	8.00	3.71	8.93	13.33
CRD1	Mazard\_2012		0.00	0.00	1.65E-04	0.04	0.07
	Ong\_2022		0.03	7.52E-03	0.01	2.79	2.79
EnvA	Mazard\_2012		0.00	0.00	0.00	2.85E-03	3.11E-03
	Ong\_2022		0.00	8.35E-04	4.78E-03	0.76	0.29
UC-A	Mazard\_2012		0.22	0.43	0.42	1.13	1.16
	Ong\_2022		0.15	0.23	0.08	0.14	0.07
EnvB	Mazard\_2012		0.00	0.00	0.00	0.07	0.11
	Ong\_2022		0.00	0.00	0.00	0.34	0.35
Ic	Mazard\_2012		0.26	5.07E-03	0.04	0.30	0.04
	Ong\_2022		0.05	0.00	3.05E-03	0.09	3.64E-03
II-WPC2	Mazard\_2012		0.17	0.36	0.31	0.30	0.13
	Ong\_2022		5.85E-03	0.04	5.65E-03	6.67E-03	0.01
IIh	Mazard\_2012		0.00	0.00	0.00	0.00	0.00
	Ong\_2022		0.06	0.00	0.00	0.00	0.00
IIe	Mazard\_2012		0.00	0.00	0.00	0.00	0.00
	Ong\_2022		0.03	0.00	0.00	0.00	0.00
WPC1	Mazard\_2012		0.00	0.00	0.00	0.00	0.00
	Ong\_2022		0.02	0.00	0.00	0.00	0.00
VIb	Mazard\_2012		0.00	0.00	0.00	0.00	0.00
	Ong\_2022		0.00	0.00	1.31E-03	1.66E-03	1.82E-03
V	Mazard\_2012		0.00	0.00	9.93E-04	0.00	0.00
	Ong\_2022		0.00	0.00	0.00	3.33E-03	0.00
VIc	Mazard\_2012		1.59E-03	0.00	0.00	0.00	0.00
	Ong\_2022		0.00	0.00	0.00	0.00	0.00
IIb	Mazard\_2012		0.00	0.00	4.47E-03	0.00	0.00
	Ong\_2022		0.00	0.00	0.00	0.00	0.00
							
