asv_code	file_code	n_reads
asv_0D2_00001	CTD-NpetB-128	2394
asv_0D2_00002	CTD-NpetB-128	509
asv_0D2_00003	CTD-NpetB-128	1909
asv_0D2_00004	CTD-NpetB-128	1102
asv_0D2_00005	CTD-NpetB-128	587
asv_0D2_00006	CTD-NpetB-128	561
asv_0D2_00007	CTD-NpetB-128	1093
asv_0D2_00008	CTD-NpetB-128	436
asv_0D2_00009	CTD-NpetB-128	113
asv_0D2_00010	CTD-NpetB-128	926
asv_0D2_00011	CTD-NpetB-128	1205
asv_0D2_00012	CTD-NpetB-128	1019
asv_0D2_00013	CTD-NpetB-128	440
asv_0D2_00014	CTD-NpetB-128	224
asv_0D2_00015	CTD-NpetB-128	428
asv_0D2_00016	CTD-NpetB-128	559
asv_0D2_00017	CTD-NpetB-128	307
asv_0D2_00019	CTD-NpetB-128	299
asv_0D2_00020	CTD-NpetB-128	538
asv_0D2_00021	CTD-NpetB-128	72
asv_0D2_00022	CTD-NpetB-128	88
asv_0D2_00023	CTD-NpetB-128	205
asv_0D2_00024	CTD-NpetB-128	202
asv_0D2_00025	CTD-NpetB-128	203
asv_0D2_00027	CTD-NpetB-128	212
asv_0D2_00028	CTD-NpetB-128	391
asv_0D2_00030	CTD-NpetB-128	179
asv_0D2_00031	CTD-NpetB-128	196
asv_0D2_00033	CTD-NpetB-128	38
asv_0D2_00034	CTD-NpetB-128	39
asv_0D2_00037	CTD-NpetB-128	87
asv_0D2_00038	CTD-NpetB-128	191
asv_0D2_00039	CTD-NpetB-128	247
asv_0D2_00040	CTD-NpetB-128	138
asv_0D2_00041	CTD-NpetB-128	274
asv_0D2_00042	CTD-NpetB-128	117
asv_0D2_00043	CTD-NpetB-128	265
asv_0D2_00044	CTD-NpetB-128	73
asv_0D2_00045	CTD-NpetB-128	302
asv_0D2_00046	CTD-NpetB-128	77
asv_0D2_00048	CTD-NpetB-128	87
asv_0D2_00049	CTD-NpetB-128	167
asv_0D2_00051	CTD-NpetB-128	151
asv_0D2_00052	CTD-NpetB-128	143
asv_0D2_00055	CTD-NpetB-128	125
asv_0D2_00063	CTD-NpetB-128	77
asv_0D2_00064	CTD-NpetB-128	141
asv_0D2_00065	CTD-NpetB-128	118
asv_0D2_00073	CTD-NpetB-128	157
asv_0D2_00074	CTD-NpetB-128	164
asv_0D2_00075	CTD-NpetB-128	41
asv_0D2_00078	CTD-NpetB-128	73
asv_0D2_00079	CTD-NpetB-128	66
asv_0D2_00080	CTD-NpetB-128	71
asv_0D2_00081	CTD-NpetB-128	36
asv_0D2_00082	CTD-NpetB-128	212
asv_0D2_00086	CTD-NpetB-128	37
asv_0D2_00091	CTD-NpetB-128	42
asv_0D2_00092	CTD-NpetB-128	133
asv_0D2_00094	CTD-NpetB-128	78
asv_0D2_00100	CTD-NpetB-128	60
asv_0D2_00103	CTD-NpetB-128	72
asv_0D2_00104	CTD-NpetB-128	126
asv_0D2_00106	CTD-NpetB-128	198
asv_0D2_00108	CTD-NpetB-128	92
asv_0D2_00110	CTD-NpetB-128	46
asv_0D2_00112	CTD-NpetB-128	203
asv_0D2_00115	CTD-NpetB-128	35
asv_0D2_00117	CTD-NpetB-128	90
asv_0D2_00118	CTD-NpetB-128	42
asv_0D2_00120	CTD-NpetB-128	100
asv_0D2_00129	CTD-NpetB-128	249
asv_0D2_00130	CTD-NpetB-128	58
asv_0D2_00135	CTD-NpetB-128	107
asv_0D2_00137	CTD-NpetB-128	83
asv_0D2_00138	CTD-NpetB-128	26
asv_0D2_00141	CTD-NpetB-128	44
asv_0D2_00142	CTD-NpetB-128	89
asv_0D2_00146	CTD-NpetB-128	62
asv_0D2_00151	CTD-NpetB-128	86
asv_0D2_00156	CTD-NpetB-128	87
asv_0D2_00159	CTD-NpetB-128	21
asv_0D2_00162	CTD-NpetB-128	80
asv_0D2_00166	CTD-NpetB-128	32
asv_0D2_00167	CTD-NpetB-128	51
asv_0D2_00170	CTD-NpetB-128	36
asv_0D2_00171	CTD-NpetB-128	97
asv_0D2_00180	CTD-NpetB-128	30
asv_0D2_00184	CTD-NpetB-128	28
asv_0D2_00186	CTD-NpetB-128	33
asv_0D2_00190	CTD-NpetB-128	35
asv_0D2_00193	CTD-NpetB-128	167
asv_0D2_00197	CTD-NpetB-128	46
asv_0D2_00200	CTD-NpetB-128	40
asv_0D2_00202	CTD-NpetB-128	53
asv_0D2_00204	CTD-NpetB-128	35
asv_0D2_00215	CTD-NpetB-128	51
asv_0D2_00216	CTD-NpetB-128	28
asv_0D2_00220	CTD-NpetB-128	67
asv_0D2_00221	CTD-NpetB-128	26
asv_0D2_00233	CTD-NpetB-128	11
asv_0D2_00243	CTD-NpetB-128	56
asv_0D2_00244	CTD-NpetB-128	25
asv_0D2_00254	CTD-NpetB-128	55
asv_0D2_00259	CTD-NpetB-128	30
asv_0D2_00278	CTD-NpetB-128	59
asv_0D2_00279	CTD-NpetB-128	18
asv_0D2_00283	CTD-NpetB-128	55
asv_0D2_00290	CTD-NpetB-128	23
asv_0D2_00293	CTD-NpetB-128	36
asv_0D2_00295	CTD-NpetB-128	16
asv_0D2_00298	CTD-NpetB-128	32
asv_0D2_00318	CTD-NpetB-128	168
asv_0D2_00322	CTD-NpetB-128	107
asv_0D2_00328	CTD-NpetB-128	35
asv_0D2_00331	CTD-NpetB-128	31
asv_0D2_00332	CTD-NpetB-128	29
asv_0D2_00342	CTD-NpetB-128	19
asv_0D2_00343	CTD-NpetB-128	20
asv_0D2_00347	CTD-NpetB-128	59
asv_0D2_00351	CTD-NpetB-128	53
asv_0D2_00366	CTD-NpetB-128	37
asv_0D2_00370	CTD-NpetB-128	31
asv_0D2_00382	CTD-NpetB-128	10
asv_0D2_00383	CTD-NpetB-128	44
asv_0D2_00385	CTD-NpetB-128	37
asv_0D2_00392	CTD-NpetB-128	28
asv_0D2_00393	CTD-NpetB-128	50
asv_0D2_00395	CTD-NpetB-128	18
asv_0D2_00397	CTD-NpetB-128	34
asv_0D2_00400	CTD-NpetB-128	27
asv_0D2_00424	CTD-NpetB-128	39
asv_0D2_00438	CTD-NpetB-128	26
asv_0D2_00483	CTD-NpetB-128	26
asv_0D2_00492	CTD-NpetB-128	31
asv_0D2_00497	CTD-NpetB-128	22
asv_0D2_00500	CTD-NpetB-128	35
asv_0D2_00599	CTD-NpetB-128	33
asv_0D2_00604	CTD-NpetB-128	36
asv_0D2_00675	CTD-NpetB-128	59
asv_0D2_00688	CTD-NpetB-128	19
asv_0D2_00744	CTD-NpetB-128	24
asv_0D2_00780	CTD-NpetB-128	15
asv_0D2_00797	CTD-NpetB-128	38
asv_0D2_00875	CTD-NpetB-128	28
asv_0D2_00885	CTD-NpetB-128	25
asv_0D2_00921	CTD-NpetB-128	9
asv_0D2_00947	CTD-NpetB-128	27
asv_0D2_01051	CTD-NpetB-128	41
asv_0D2_01063	CTD-NpetB-128	18
asv_0D2_01072	CTD-NpetB-128	19
asv_0D2_01083	CTD-NpetB-128	20
asv_0D2_01182	CTD-NpetB-128	34
asv_0D2_01242	CTD-NpetB-128	18
asv_0D2_01287	CTD-NpetB-128	21
asv_0D2_01381	CTD-NpetB-128	11
asv_0D2_01470	CTD-NpetB-128	20
asv_0D2_01486	CTD-NpetB-128	53
asv_0D2_01689	CTD-NpetB-128	26
asv_0D2_02010	CTD-NpetB-128	5
asv_0D2_02033	CTD-NpetB-128	4
asv_0D2_02034	CTD-NpetB-128	4
asv_0D2_02059	CTD-NpetB-128	3
asv_0D2_02096	CTD-NpetB-128	2
asv_0D2_00001	CTD-NpetB-129	991
asv_0D2_00002	CTD-NpetB-129	152
asv_0D2_00003	CTD-NpetB-129	1911
asv_0D2_00004	CTD-NpetB-129	680
asv_0D2_00006	CTD-NpetB-129	1301
asv_0D2_00009	CTD-NpetB-129	512
asv_0D2_00010	CTD-NpetB-129	836
asv_0D2_00011	CTD-NpetB-129	669
asv_0D2_00012	CTD-NpetB-129	601
asv_0D2_00015	CTD-NpetB-129	296
asv_0D2_00016	CTD-NpetB-129	227
asv_0D2_00019	CTD-NpetB-129	681
asv_0D2_00023	CTD-NpetB-129	957
