n_seq	file_name
57191	CTD-NpetB-128_AAAGTA-JRF3L_L001_R2.fastq.gz
42228	CTD-NpetB-129_GAGGGC-JRF3L_L001_R2.fastq.gz
38631	CTD-NpetB-130_TCAGCG-JRF3L_L001_R2.fastq.gz
44157	CTD-NpetB-131_TACAAG-JRF3L_L001_R2.fastq.gz
56958	CTD-NpetB-132_CGTTTC-JRF3L_L001_R2.fastq.gz
49947	CTD-NpetB-133_CCCGTT-JRF3L_L001_R2.fastq.gz
41140	CTD-NpetB-134_AGGCGC-JRF3L_L001_R2.fastq.gz
45813	CTD-NpetB-135_AATCCG-JRF3L_L001_R2.fastq.gz
42036	CTD-NpetB-136_TGATGC-JRF3L_L001_R2.fastq.gz
45887	CTD-NpetB-137_GAGCAA-JRF3L_L001_R2.fastq.gz
46551	CTD-NpetB-138_ACTGCG-JRF3L_L001_R2.fastq.gz
42398	CTD-NpetB-139_GACGAT-JRF3L_L001_R2.fastq.gz
49951	CTD-NpetB-140_ATCTAT-JRF3L_L001_R2.fastq.gz
46279	CTD-NpetB-141_TAGATC-JRF3L_L001_R2.fastq.gz
45941	CTD-NpetB-142_GTGAAT-JRF3L_L001_R2.fastq.gz
50452	CTD-NpetB-143_AACGTC-JRF3L_L001_R2.fastq.gz
44913	CTD-NpetB-144_TGTCGT-JRF3L_L001_R2.fastq.gz
52251	CTD-NpetB-145_CACTAA-JRF3L_L001_R2.fastq.gz
52207	CTD-NpetB-146_TTGACT-JRF3L_L001_R2.fastq.gz
39057	CTD-NpetB-147_ACATTA-JRF3L_L001_R2.fastq.gz
41482	CTD-NpetB-148_GGGTCT-JRF3L_L001_R2.fastq.gz
46586	CTD-NpetB-149_CCAAGC-JRF3L_L001_R2.fastq.gz
40765	CTD-NpetB-150_GCACTG-JRF3L_L001_R2.fastq.gz
48583	CTD-NpetB-151_CGTTAA-JRF3L_L001_R2.fastq.gz
38670	CTD-NpetB-152_GTGTAG-JRF3L_L001_R2.fastq.gz
47732	CTD-NpetB-153_CACCTC-JRF3L_L001_R2.fastq.gz
47000	CTD-NpetB-154_TAAATG-JRF3L_L001_R2.fastq.gz
47524	CTD-NpetB-155_CTTGAC-JRF3L_L001_R2.fastq.gz
