asv_code	file_code	n_reads
asv_0D3_00001	CTD-petB-128	4109
asv_0D3_00002	CTD-petB-128	7118
asv_0D3_00003	CTD-petB-128	3893
asv_0D3_00004	CTD-petB-128	957
asv_0D3_00005	CTD-petB-128	480
asv_0D3_00006	CTD-petB-128	1969
asv_0D3_00007	CTD-petB-128	1678
asv_0D3_00008	CTD-petB-128	328
asv_0D3_00009	CTD-petB-128	418
asv_0D3_00010	CTD-petB-128	1326
asv_0D3_00011	CTD-petB-128	2019
asv_0D3_00012	CTD-petB-128	332
asv_0D3_00013	CTD-petB-128	472
asv_0D3_00014	CTD-petB-128	244
asv_0D3_00015	CTD-petB-128	273
asv_0D3_00016	CTD-petB-128	287
asv_0D3_00017	CTD-petB-128	81
asv_0D3_00018	CTD-petB-128	828
asv_0D3_00019	CTD-petB-128	431
asv_0D3_00020	CTD-petB-128	382
asv_0D3_00022	CTD-petB-128	363
asv_0D3_00023	CTD-petB-128	725
asv_0D3_00024	CTD-petB-128	582
asv_0D3_00025	CTD-petB-128	339
asv_0D3_00026	CTD-petB-128	215
asv_0D3_00027	CTD-petB-128	198
asv_0D3_00028	CTD-petB-128	74
asv_0D3_00029	CTD-petB-128	174
asv_0D3_00030	CTD-petB-128	93
asv_0D3_00031	CTD-petB-128	113
asv_0D3_00032	CTD-petB-128	152
asv_0D3_00033	CTD-petB-128	113
asv_0D3_00034	CTD-petB-128	132
asv_0D3_00035	CTD-petB-128	243
asv_0D3_00036	CTD-petB-128	188
asv_0D3_00037	CTD-petB-128	312
asv_0D3_00038	CTD-petB-128	475
asv_0D3_00039	CTD-petB-128	286
asv_0D3_00040	CTD-petB-128	296
asv_0D3_00041	CTD-petB-128	100
asv_0D3_00042	CTD-petB-128	315
asv_0D3_00043	CTD-petB-128	372
asv_0D3_00045	CTD-petB-128	253
asv_0D3_00046	CTD-petB-128	167
asv_0D3_00048	CTD-petB-128	197
asv_0D3_00049	CTD-petB-128	129
asv_0D3_00050	CTD-petB-128	377
asv_0D3_00051	CTD-petB-128	47
asv_0D3_00052	CTD-petB-128	54
asv_0D3_00054	CTD-petB-128	32
asv_0D3_00055	CTD-petB-128	32
asv_0D3_00056	CTD-petB-128	27
asv_0D3_00060	CTD-petB-128	152
asv_0D3_00061	CTD-petB-128	142
asv_0D3_00062	CTD-petB-128	60
asv_0D3_00063	CTD-petB-128	33
asv_0D3_00064	CTD-petB-128	10
asv_0D3_00065	CTD-petB-128	98
asv_0D3_00067	CTD-petB-128	233
asv_0D3_00069	CTD-petB-128	113
asv_0D3_00070	CTD-petB-128	116
asv_0D3_00071	CTD-petB-128	120
asv_0D3_00072	CTD-petB-128	111
asv_0D3_00074	CTD-petB-128	90
asv_0D3_00075	CTD-petB-128	76
asv_0D3_00076	CTD-petB-128	188
asv_0D3_00077	CTD-petB-128	197
asv_0D3_00078	CTD-petB-128	30
asv_0D3_00079	CTD-petB-128	70
asv_0D3_00082	CTD-petB-128	82
asv_0D3_00085	CTD-petB-128	162
asv_0D3_00086	CTD-petB-128	38
asv_0D3_00088	CTD-petB-128	36
asv_0D3_00090	CTD-petB-128	101
asv_0D3_00091	CTD-petB-128	106
asv_0D3_00093	CTD-petB-128	161
asv_0D3_00096	CTD-petB-128	27
asv_0D3_00097	CTD-petB-128	25
asv_0D3_00098	CTD-petB-128	15
asv_0D3_00100	CTD-petB-128	221
asv_0D3_00103	CTD-petB-128	29
asv_0D3_00106	CTD-petB-128	33
asv_0D3_00107	CTD-petB-128	35
asv_0D3_00108	CTD-petB-128	82
asv_0D3_00109	CTD-petB-128	23
asv_0D3_00111	CTD-petB-128	9
asv_0D3_00112	CTD-petB-128	103
asv_0D3_00113	CTD-petB-128	37
asv_0D3_00115	CTD-petB-128	31
asv_0D3_00116	CTD-petB-128	45
asv_0D3_00117	CTD-petB-128	30
asv_0D3_00119	CTD-petB-128	315
asv_0D3_00120	CTD-petB-128	51
asv_0D3_00121	CTD-petB-128	36
asv_0D3_00122	CTD-petB-128	40
asv_0D3_00124	CTD-petB-128	51
asv_0D3_00128	CTD-petB-128	34
asv_0D3_00133	CTD-petB-128	29
asv_0D3_00134	CTD-petB-128	54
asv_0D3_00135	CTD-petB-128	49
asv_0D3_00136	CTD-petB-128	100
asv_0D3_00137	CTD-petB-128	73
asv_0D3_00141	CTD-petB-128	66
asv_0D3_00143	CTD-petB-128	26
asv_0D3_00144	CTD-petB-128	36
asv_0D3_00152	CTD-petB-128	25
asv_0D3_00158	CTD-petB-128	108
asv_0D3_00160	CTD-petB-128	21
asv_0D3_00167	CTD-petB-128	64
asv_0D3_00168	CTD-petB-128	29
asv_0D3_00170	CTD-petB-128	63
asv_0D3_00171	CTD-petB-128	18
asv_0D3_00173	CTD-petB-128	22
asv_0D3_00176	CTD-petB-128	22
asv_0D3_00180	CTD-petB-128	116
asv_0D3_00186	CTD-petB-128	28
asv_0D3_00187	CTD-petB-128	37
asv_0D3_00188	CTD-petB-128	28
asv_0D3_00191	CTD-petB-128	44
asv_0D3_00192	CTD-petB-128	41
asv_0D3_00194	CTD-petB-128	11
asv_0D3_00198	CTD-petB-128	66
asv_0D3_00204	CTD-petB-128	11
asv_0D3_00208	CTD-petB-128	16
asv_0D3_00210	CTD-petB-128	8
asv_0D3_00212	CTD-petB-128	23
asv_0D3_00213	CTD-petB-128	16
asv_0D3_00216	CTD-petB-128	24
asv_0D3_00219	CTD-petB-128	51
asv_0D3_00220	CTD-petB-128	29
asv_0D3_00227	CTD-petB-128	33
asv_0D3_00232	CTD-petB-128	35
asv_0D3_00234	CTD-petB-128	42
asv_0D3_00239	CTD-petB-128	12
asv_0D3_00246	CTD-petB-128	32
asv_0D3_00248	CTD-petB-128	15
asv_0D3_00249	CTD-petB-128	7
asv_0D3_00253	CTD-petB-128	36
asv_0D3_00259	CTD-petB-128	15
asv_0D3_00267	CTD-petB-128	9
asv_0D3_00279	CTD-petB-128	25
asv_0D3_00289	CTD-petB-128	17
asv_0D3_00296	CTD-petB-128	87
asv_0D3_00302	CTD-petB-128	18
asv_0D3_00308	CTD-petB-128	9
asv_0D3_00310	CTD-petB-128	35
asv_0D3_00316	CTD-petB-128	7
asv_0D3_00317	CTD-petB-128	12
asv_0D3_00327	CTD-petB-128	9
asv_0D3_00329	CTD-petB-128	3
asv_0D3_00332	CTD-petB-128	7
asv_0D3_00334	CTD-petB-128	23
asv_0D3_00336	CTD-petB-128	22
asv_0D3_00341	CTD-petB-128	11
asv_0D3_00359	CTD-petB-128	6
asv_0D3_00361	CTD-petB-128	13
asv_0D3_00366	CTD-petB-128	14
asv_0D3_00375	CTD-petB-128	14
asv_0D3_00399	CTD-petB-128	20
asv_0D3_00424	CTD-petB-128	16
asv_0D3_00436	CTD-petB-128	8
asv_0D3_00437	CTD-petB-128	18
asv_0D3_00440	CTD-petB-128	4
asv_0D3_00448	CTD-petB-128	6
asv_0D3_00501	CTD-petB-128	51
asv_0D3_00520	CTD-petB-128	15
asv_0D3_00554	CTD-petB-128	14
asv_0D3_00598	CTD-petB-128	6
asv_0D3_00706	CTD-petB-128	5
asv_0D3_00808	CTD-petB-128	9
asv_0D3_00845	CTD-petB-128	4
asv_0D3_00880	CTD-petB-128	3
asv_0D3_00899	CTD-petB-128	5
asv_0D3_00900	CTD-petB-128	17
asv_0D3_00914	CTD-petB-128	4
asv_0D3_00915	CTD-petB-128	18
asv_0D3_01015	CTD-petB-128	4
asv_0D3_01188	CTD-petB-128	5
asv_0D3_01264	CTD-petB-128	4
asv_0D3_01476	CTD-petB-128	12
asv_0D3_01477	CTD-petB-128	12
asv_0D3_01549	CTD-petB-128	11
asv_0D3_01632	CTD-petB-128	10
asv_0D3_01755	CTD-petB-128	3
asv_0D3_01901	CTD-petB-128	2
asv_0D3_02079	CTD-petB-128	2
asv_0D3_02080	CTD-petB-128	7
asv_0D3_02282	CTD-petB-128	6
asv_0D3_02283	CTD-petB-128	6
asv_0D3_02284	CTD-petB-128	6
asv_0D3_02562	CTD-petB-128	5
asv_0D3_02563	CTD-petB-128	5
asv_0D3_02564	CTD-petB-128	5
asv_0D3_02565	CTD-petB-128	5
asv_0D3_02920	CTD-petB-128	4
asv_0D3_02921	CTD-petB-128	4
asv_0D3_02922	CTD-petB-128	4
asv_0D3_02923	CTD-petB-128	4
asv_0D3_02924	CTD-petB-128	4
asv_0D3_02925	CTD-petB-128	4
asv_0D3_02926	CTD-petB-128	4
asv_0D3_02927	CTD-petB-128	4
asv_0D3_03489	CTD-petB-128	3
asv_0D3_03490	CTD-petB-128	3
asv_0D3_03491	CTD-petB-128	3
asv_0D3_03492	CTD-petB-128	3
asv_0D3_03493	CTD-petB-128	3
asv_0D3_03494	CTD-petB-128	3
asv_0D3_03495	CTD-petB-128	3
asv_0D3_03496	CTD-petB-128	3
asv_0D3_03497	CTD-petB-128	3
asv_0D3_03498	CTD-petB-128	3
asv_0D3_03499	CTD-petB-128	3
asv_0D3_04288	CTD-petB-128	2
asv_0D3_04289	CTD-petB-128	2
asv_0D3_04290	CTD-petB-128	2
asv_0D3_04291	CTD-petB-128	2
asv_0D3_04292	CTD-petB-128	2
asv_0D3_04293	CTD-petB-128	2
asv_0D3_04294	CTD-petB-128	2
asv_0D3_04295	CTD-petB-128	2
asv_0D3_04296	CTD-petB-128	2
asv_0D3_00001	CTD-petB-128-1	4337
asv_0D3_00002	CTD-petB-128-1	7312
asv_0D3_00003	CTD-petB-128-1	4029
asv_0D3_00004	CTD-petB-128-1	1739
asv_0D3_00005	CTD-petB-128-1	527
asv_0D3_00006	CTD-petB-128-1	3411
asv_0D3_00007	CTD-petB-128-1	1599
asv_0D3_00008	CTD-petB-128-1	546
asv_0D3_00009	CTD-petB-128-1	531
asv_0D3_00010	CTD-petB-128-1	2270
asv_0D3_00011	CTD-petB-128-1	1666
asv_0D3_00012	CTD-petB-128-1	219
asv_0D3_00013	CTD-petB-128-1	600
