cutadapt	filtered	denoised	tabled	nonchim	file_code
50902	47974	47127	47127	40935	CTD-petB-128
55679	53436	52843	52843	47090	CTD-petB-128-1
49431	46516	46235	46235	42925	CTD-petB-129
54750	52114	51497	51497	42084	CTD-petB-130
49224	47239	46780	46780	41853	CTD-petB-131
46007	43981	43744	43744	38736	CTD-petB-132
51857	49819	49309	49309	44566	CTD-petB-133
48392	44167	42977	42977	38215	CTD-petB-134
48082	42997	41745	41745	37463	CTD-petB-135
51612	47387	45938	45938	40537	CTD-petB-136
55818	52114	51145	51145	46103	CTD-petB-137
57212	54027	53328	53328	47255	CTD-petB-138
37937	34187	33117	33117	30536	CTD-petB-139
60002	54722	53476	53476	45378	CTD-petB-140
42174	38672	37508	37508	32695	CTD-petB-141
43337	39723	38576	38576	33497	CTD-petB-142
45616	41607	40200	40200	35084	CTD-petB-143
49011	46540	46039	46039	38660	CTD-petB-144
42844	39555	38362	38362	32974	CTD-petB-145
47831	44028	42887	42887	36185	CTD-petB-146
45659	42321	41193	41193	35169	CTD-petB-147
46794	43571	42512	42512	36076	CTD-petB-148
55785	50932	49610	49610	42346	CTD-petB-149
47493	42916	41600	41600	35497	CTD-petB-150
40880	38648	37875	37875	31660	CTD-petB-151
43339	39608	38237	38237	30901	CTD-petB-152
38644	36436	35632	35632	28317	CTD-petB-153
45985	43316	42346	42346	32537	CTD-petB-154
41095	38329	37403	37403	29284	CTD-petB-155
48007	44464	43505	43505	34215	CTD-petB-156
50988	46645	45528	45528	35992	CTD-petB-157
50370	47604	46991	46991	36364	CTD-petB-158
45256	42321	41734	41734	34367	CTD-petB-159
51215	48237	47237	47237	36758	CTD-petB-160
41846	39626	38832	38832	31198	CTD-petB-161
44803	41097	40033	40033	34374	CTD-petB-162
42108	37510	36064	36064	31724	CTD-petB-163
52859	50546	49878	49878	43534	CTD-petB-164
40607	36960	35761	35761	31658	CTD-petB-165
49871	47566	46952	46952	42030	CTD-petB-166
48747	45082	43952	43952	38259	CTD-petB-167
37914	34635	33173	33173	29620	CTD-petB-168
37947	34661	33620	33620	31366	CTD-petB-169
48902	46171	45194	45194	39576	CTD-petB-170
46543	43429	42473	42473	36641	CTD-petB-171
38701	36262	35282	35282	29678	CTD-petB-172
39528	36030	35065	35065	30304	CTD-petB-173
44894	42618	41760	41760	38061	CTD-petB-174
43549	40366	39768	39768	34908	CTD-petB-175
55787	53278	52762	52762	45895	CTD-petB-176
50918	47767	46844	46844	39887	CTD-petB-177
48033	44046	42955	42955	37011	CTD-petB-178
49227	46179	45237	45237	39606	CTD-petB-179
43799	41414	40722	40722	33960	CTD-petB-180
48975	46448	45991	45991	38282	CTD-petB-181
45991	43421	42935	42935	36071	CTD-petB-182
49038	46413	45621	45621	38230	CTD-petB-183
46121	43887	43147	43147	36256	CTD-petB-184
49055	46164	45454	45454	38886	CTD-petB-185
50184	47054	46418	46418	40084	CTD-petB-186
55364	53078	52533	52533	47565	CTD-petB-213
56420	54047	53262	53262	46444	CTD-petB-214
50895	49221	48749	48749	40593	CTD-petB-216
53586	51675	51000	51000	42039	CTD-petB-217
62266	59563	58764	58764	50886	CTD-petB-219
57977	55617	55013	55013	48488	CTD-petB-220
52277	50330	49857	49857	42615	CTD-petB-221
54470	52149	51475	51475	43219	CTD-petB-222
40548	38907	38561	38561	32689	CTD-petB-223
51641	49870	49419	49419	41400	CTD-petB-224
35177	33960	33664	33664	21917	CTD-petB-neg2
