						Filtered seawater				Sorted Synechococcus	
date (DD-MM-YYYY)	lat	long	cycle_station	ctd_cast	depth	sample_number	Mazard_2012	Ong_2022		Sample name	No. of cells
29/10/2018	-44.54	174.11	SA1_1	U9115	05	219	CTD-petB-219	CTD-NpetB-219			
29/10/2018	-44.54	174.11	SA1_1	U9115	12	220	CTD-petB-220	CTD-NpetB-220			
29/10/2018	-44.54	174.11	SA1_1	U9115	20	221	CTD-petB-221	CTD-NpetB-221			
29/10/2018	-44.54	174.11	SA1_1	U9115	30	222	CTD-petB-222	CTD-NpetB-222			
29/10/2018	-44.54	174.11	SA1_1	U9115	40	223	CTD-petB-223	CTD-NpetB-223			
29/10/2018	-44.54	174.11	SA1_1	U9115	50	224	CTD-petB-224	CTD-NpetB-224			
27/10/2018	-44.6	174.21	SA1_2	U9109	05	213	CTD-petB-213	CTD-NpetB-213			
27/10/2018	-44.6	174.21	SA1_2	U9109	12	214	CTD-petB-214	CTD-NpetB-214			
27/10/2018	-44.6	174.21	SA1_2	U9109	20	215		CTD-NpetB-215			
27/10/2018	-44.6	174.21	SA1_2	U9109	30	216	CTD-petB-216	CTD-NpetB-216			
27/10/2018	-44.6	174.21	SA1_2	U9109	40	217	CTD-petB-217	CTD-NpetB-217			
27/10/2018	-44.6	174.21	SA1_2	U9109	50	218	CTD-petB-128-1	CTD-NpetB-218			
26/10/2018	-44.6	174.21	SA1_3	U9106	05	128	CTD-petB-128	CTD-NpetB-128			
26/10/2018	-44.6	174.21	SA1_3	U9106	12	129	CTD-petB-129	CTD-NpetB-129		syn-07	"10,000"
26/10/2018	-44.6	174.21	SA1_3	U9106	20	130	CTD-petB-130	CTD-NpetB-130			
26/10/2018	-44.6	174.21	SA1_3	U9106	30	131	CTD-petB-131	CTD-NpetB-131			
26/10/2018	-44.6	174.21	SA1_3	U9106	40	132	CTD-petB-132	CTD-NpetB-132		syn-08	"10,000"
26/10/2018	-44.6	174.21	SA1_3	U9106	50	133	CTD-petB-133	CTD-NpetB-133			
31/10/2018	-44.64	174.27	SA1_4	U9122	05	134	CTD-petB-134	CTD-NpetB-134			
31/10/2018	-44.64	174.27	SA1_4	U9122	12	135	CTD-petB-135	CTD-NpetB-135			
