										Synechococcus			Pico			Nano	
date	Lat	Long	STN	Cycle	Exp	Incub Time	DEPTH	SAMPLE	vial	cells_sorted	sample_name		cells_sorted	sample_name		cells_sorted	sample_name
25/10/18	-44.60	174.51	15	SA1	1	T0	12	SUR	i	10000	syn-01-10		10000	pico-01-10		1969	nano-01
25/10/18	-44.60	174.51	15	SA1	1	T0	12	SUR	i	20000	syn-01-20		30000	pico-01-30			
25/10/18	-44.60	174.51	15	SA1	1	T0	40	DCM	i	1000	syn-02-1		1000	pico-02-10		1000	nano-02
25/10/18	-44.60	174.51	15	SA1	1	T0	40	DCM	i	5000	syn-02-5		5000	pico-02			
25/10/18	-44.60	174.51	15	SA1	1	T0	40	DCM	i	10000	syn-02-10		10000	pico-02-10-1			
25/10/18	-44.60	174.51	15	SA1	1	T24	12	SUR	A	2000	syn-03-2		2000	pico-03-2			
25/10/18	-44.60	174.51	15	SA1	1	T24	12	SUR	A	4000	syn-03-4		4000	pico-03-4			
25/10/18	-44.60	174.51	15	SA1	1	T24	12	SUR	A	10000	syn-03-10		10000	pico-03-10			
25/10/18	-44.60	174.51	15	SA1	1	T24	12	SUR	B	10000	syn-04		10000	pico-04		1000	nano-04
25/10/18	-44.60	174.51	15	SA1	1	T24	12	SUR	C	10000	syn-05		10000	pico-05		1000	nano-05
25/10/18	-44.60	174.51	15	SA1	1	T24	12	SUR	D	10000	syn-06		10000	pico-06		1000	nano-06
26/10/18	-44.53	174.23	24	SA1	2	T0	12	SUR	i	10000	syn-07		10000	pico-07		1000	nano-07
26/10/18	-44.53	174.23	24	SA1	2	T0	40	DCM	i	10000	syn-08		10000	pico-08		1000	nano-08
26/10/18	-44.53	174.23	24	SA1	2	T24	12	SUR	A	10000	syn-09		10000	pico-09			
26/10/18	-44.53	174.23	24	SA1	2	T24	12	SUR	D	10000	syn-11					1000	nano-11
26/10/18	-44.53	174.23	24	SA1	2	T24	40	DCM	A	4000	syn-12					457	nano-12
2/11/18	-44.56	178.48	137	SA2	3	T0	12	SUR	i				2000	pico-15		1000	nano-15
2/11/18	-44.56	178.48	137	SA2	3	T0	40	DCM	i							1000	nano-16
2/11/18	-44.56	178.48	137	SA2	3	T24	12	SUR	A							1000	nano-17
2/11/18	-44.56	178.48	137	SA2	3	T24	12	SUR	B	2000	syn-18		2000	pico-18			
2/11/18	-44.56	178.48	137	SA2	3	T24	12	SUR	C	2000	syn-19		2000	pico-19		1000	nano-19
2/11/18	-44.56	178.48	137	SA2	3	T24	12	SUR	D	2000	syn-20		2000	pico-20		1000	nano-20
2/11/18	-44.56	178.48	137	SA2	3	T24	40	DCM	B	2000	syn-21		2000	pico-21		1000	nano-21
2/11/18	-44.56	178.48	137	SA2	3	T24	40	DCM	D	2000	syn-22		2000	pico-22		1000	nano-22
3/11/18	-44.57	178.68	150	SA2	4	T0	12	SUR	i	2000	syn-23		2000	pico-23		1000	nano-23
3/11/18	-44.57	178.68	150	SA2	4	T72	12	SUR	A	2000	syn-24		2000	pico-24		1000	nano-24
3/11/18	-44.57	178.68	150	SA2	4	T72	12	SUR	B	2000	syn-25		2000	pico-25		1000	nano-25
3/11/18	-44.57	178.68	150	SA2	4	T72	12	SUR	C	2000	syn-26		2000	pico-26		1000	nano-26
3/11/18	-44.57	178.68	150	SA2	4	T72	12	SUR	B	2000	syn-27		2000	pico-27		1000	nano-27
3/11/18	-44.57	178.68	150	SA2	4	T72	40	DCM	A	2000	syn-28		2000	pico-28		1000	nano-28
3/11/18	-44.57	178.68	150	SA2	4	T72	40	DCM	B	2000	syn-29		2000	pico-29		1000	nano-29
3/11/18	-44.57	178.68	150	SA2	4	T0	40	DCM	i	2000	syn-30		2000	pico-30		1000	nano-30
3/11/18	-44.57	178.68	150	SA2	4	T72	40	DCM	C	2000	syn-31		2000	pico-31		1000	nano-31
3/11/18	-44.57	178.68	150	SA2	4	T72	40	DCM	D	2000	syn-32		2000	pico-32		1000	nano-32
5/11/18	-44.60	179.18	176	SA2	5	T0	12	SUR	i	2000	syn-33		2000	pico-33		1000	nano-33
5/11/18	-44.60	179.18	176	SA2	5	T24	12	SUR	A	2000	syn-34		2000	pico-34		1000	nano-34
5/11/18	-44.60	179.18	176	SA2	5	T24	12	SUR	B	2000	syn-35		2000	pico-35		1000	nano-35
5/11/18	-44.60	179.18	176	SA2	5	T24	12	SUR	C	2000	syn-36		2724	pico-36		1000	nano-36
5/11/18	-44.60	179.18	176	SA2	5	T24	12	SUR	D	2000	syn-37		2000	pico-37		1000	nano-37
6/11/18	-44.54	179.49	188	SA2	6	T0	12	SUR	i	2000	syn-38		2000	pico-38		1000	nano-38
6/11/18	-44.54	179.49	188	SA2	6	T24	12	SUR	A	2000	syn-39		2000	pico-39		1000	nano-39
6/11/18	-44.54	179.49	188	SA2	6	T24	12	SUR	B	2000	syn-40		2000	pico-40		1000	nano-40
6/11/18	-44.54	179.49	188	SA2	6	T24	12	SUR	C	2000	syn-41		2000	pico-41		1000	nano-41
6/11/18	-44.54	179.49	188	SA2	6	T24	12	SUR	D	2000	syn-42		2000	pico-42		1000	nano-42
8/11/18	-42.74	178.09	207	ST1	7	T0	12	SUR	i	2000	syn-43		2000	pico-43		2000	nano-43
8/11/18	-42.74	178.09	207	ST1	7	T24	12	SUR	B	2000	syn-44		2000	pico-44		2000	nano-44
8/11/18	-42.74	178.09	207	ST1	7	T24	12	SUR	D	2000	syn-45		2000	pico-45		2000	nano-45
8/11/18	-42.74	178.09	207	ST1	7	T0	25	DCM	i	2000	syn-46		2000	pico-46		2000	nano-46
8/11/18	-42.74	178.09	207	ST1	7	T24	25	DCM	B	2000	syn-47		2000	pico-47		2000	nano-47
8/11/18	-42.74	178.09	207	ST1	7	T24	25	DCM	C	2000	syn-48		2000	pico-48		2000	nano-48
8/11/18	-42.74	178.09	207	ST1	7	T24	25	DCM	D	2000	syn-49		2000	pico-49		2000	nano-49
9/11/18	-42.79	178.27	223	ST1	8	T0	12	SUR	i	2000	syn-50		2000	pico-50		2000	nano-50
9/11/18	-42.79	178.27	223	ST1	8	T24	12	SUR	A	2000	syn-51		2000	pico-51		2000	nano-51
9/11/18	-42.79	178.27	223	ST1	8	T24	12	SUR	B	2000	syn-52		2000	pico-52		2000	nano-52
9/11/18	-42.79	178.27	223	ST1	8	T24	12	SUR	C	2000	syn-53		2000	pico-53		2000	nano-53
9/11/18	-42.79	178.27	223	ST1	8	T24	12	SUR	D	2000	syn-54		2000	pico-54		2000	nano-54
9/11/18	-42.79	178.27	223	ST1	8	T0	40	DCM	i	2000	syn-55		2000	pico-55		2000	nano-55
9/11/18	-42.79	178.27	223	ST1	8	T24	40	DCM	A	2000	syn-56		2000	pico-56		1000	nano-56
9/11/18	-42.79	178.27	223	ST1	8	T24	40	DCM	B	2000	syn-57		2000	pico-57		1000	nano-57
9/11/18	-42.79	178.27	223	ST1	8	T24	40	DCM	C	2000	syn-58		2000	pico-58		1000	nano-58
9/11/18	-42.79	178.27	223	ST1	8	T24	40	DCM	D	2000	syn-59		2000	pico-59		1000	nano-59
12/11/18	-43.50	179.80	266	ST2	9	T0	12	SUR	i	2000	syn-60		2000	pico-60		1000	nano-60
12/11/18	-43.50	179.80	266	ST2	9	T24	12	SUR	A	2000	syn-61		2000	pico-61		1000	nano-61
12/11/18	-43.50	179.80	266	ST2	9	T24	12	SUR	C	2000	syn-62		2000	pico-62		1000	nano-62
12/11/18	-43.50	179.80	266	ST2	9	T24	12	SUR	D	2000	syn-63		2000	pico-63		1000	nano-63
12/11/18	-43.50	179.80	266	ST2	9	T0	30	DCM	i	2000	syn-64		2000	pico-64		1000	nano-64
12/11/18	-43.50	179.80	266	ST2	9	T24	30	DCM	A	2000	syn-65		2000	pico-65		1000	nano-65
12/11/18	-43.50	179.80	266	ST2	9	T24	30	DCM	B	2000	syn-66		2000	pico-66		1000	nano-66
12/11/18	-43.50	179.80	266	ST2	9	T24	30	DCM	C	2000	syn-67		2000	pico-67		1000	nano-67
12/11/18	-43.50	179.80	266	ST2	9	T24	30	DCM	D	2000	syn-68		2000	pico-68		1000	nano-68
13/11/18	-43.48	179.94	283	ST2	10	T0	12	SUR	i	2000	syn-69		2000	pico-69		1000	nano-69
13/11/18	-43.48	179.94	283	ST2	10	T24	12	SUR	A	2000	syn-70		2000	pico-70		1000	nano-70
13/11/18	-43.48	179.94	283	ST2	10	T24	12	SUR	B	2000	syn-71		2000	pico-71		1000	nano-71
13/11/18	-43.48	179.94	283	ST2	10	T24	12	SUR	C	2000	syn-72		2000	pico-72		1000	nano-72
13/11/18	-43.48	179.94	283	ST2	10	T24	12	SUR	D	2000	syn-73		2000	pico-73		1000	nano-73
13/11/18	-43.48	179.94	283	ST2	10	T0	40	DCM	i	2000	syn-74		2000	pico-74		1000	nano-74
13/11/18	-43.48	179.94	283	ST2	10	T24	40	DCM	A	2000	syn-75		2000	pico-75		1000	nano-75
13/11/18	-43.48	179.94	283	ST2	10	T0	40	DCM	B	2000	syn-76		2000	pico-76		1000	nano-76
13/11/18	-43.48	179.94	283	ST2	10	T24	40	DCM	C	2000	syn-77		2000	pico-77		1000	nano-77
13/11/18	-43.48	179.94	283	ST2	10	T24	40	DCM	D	2000	syn-78		2000	pico-78		1000	nano-78
16/11/18	-45.56	179.52	324	SA3	11	T0	12	SUR	i	2000	syn-79		2000	pico-79		1000	nano-79
16/11/18	-45.56	179.52	324	SA3	11	T24	12	SUR	A	2000	syn-80		2000	pico-80		1000	nano-80
16/11/18	-45.56	179.52	324	SA3	11	T24	12	SUR	B	2000	syn-81		2000	pico-81		1000	nano-81
16/11/18	-45.56	179.52	324	SA3	11	T24	70	DCM	A	2000	syn-82		2000	pico-82		1000	nano-82
16/11/18	-45.56	179.52	324	SA3	11	T24	70	DCM	B	2000	syn-83		2000	pico-83		1000	nano-83
16/11/18	-45.56	179.52	324	SA3	11	T0	70	DCM	i	2000	syn-84		2000	pico-84		1000	nano-84
16/11/18	-45.56	179.52	324	SA3	11	T24	70	DCM	C	2000	syn-85		2000	pico-85		1000	nano-85
16/11/18	-45.56	179.52	324	SA3	11	T24	70	DCM	D	2000	syn-86		2000	pico-86		1000	nano-86
16/11/18	-45.56	179.52	324	SA3	11	T24	12	SUR	C	2000	syn-87		2000	pico-87		1000	nano-87
16/11/18	-45.56	179.52	324	SA3	11	T24	12	SUR	D	2000	syn-88		2000	pico-88		1000	nano-88
