									Number of cells sorted				
date	lat	long	station	cycle_name	exp	depth_m	depth	vial	Syn		Pico		Nano
8/11/18	-42.74	178.09	207	ST1	7	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
8/11/18	-42.74	178.09	207	ST1	7	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
8/11/18	-42.74	178.09	207	ST1	7	25	DCM	B	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
8/11/18	-42.74	178.09	207	ST1	7	25	DCM	C	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
8/11/18	-42.74	178.09	207	ST1	7	25	DCM	D	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
9/11/18	-42.79	178.27	223	ST1	8	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
9/11/18	-42.79	178.27	223	ST1	8	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
9/11/18	-42.79	178.27	223	ST1	8	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
9/11/18	-42.79	178.27	223	ST1	8	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		"1000, 2000"
9/11/18	-42.79	178.27	223	ST1	8	40	DCM	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
9/11/18	-42.79	178.27	223	ST1	8	40	DCM	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
9/11/18	-42.79	178.27	223	ST1	8	40	DCM	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
9/11/18	-42.79	178.27	223	ST1	8	40	DCM	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	30	DCM	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	30	DCM	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	30	DCM	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
12/11/18	-43.50	179.80	266	ST2	9	30	DCM	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	40	DCM	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	40	DCM	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	40	DCM	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
13/11/18	-43.48	179.94	283	ST2	10	40	DCM	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
25/10/18	-44.60	174.51	15	SA1	1	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
25/10/18	-44.60	174.51	15	SA1	1	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
25/10/18	-44.60	174.51	15	SA1	1	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
25/10/18	-44.60	174.51	15	SA1	1	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
26/10/18	-44.53	174.23	24	SA1	2	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
26/10/18	-44.53	174.23	24	SA1	2	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
26/10/18	-44.53	174.23	24	SA1	2	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
26/10/18	-44.53	174.23	24	SA1	2	40	DCM	A	"2000, 4000"		1120		496
26/10/18	-44.53	174.23	24	SA1	2	40	DCM	B	"2000, 4000"		2000		
26/10/18	-44.53	174.23	24	SA1	2	40	DCM	D	"2000, 4000"		2000		
2/11/18	-44.56	178.48	137	SA2	3	12	SUR	A			"2000, 4000"		1000
2/11/18	-44.56	178.48	137	SA2	3	12	SUR	B	"2000, 4000, 10000"		"2000, 4000"		1000
2/11/18	-44.56	178.48	137	SA2	3	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
2/11/18	-44.56	178.48	137	SA2	3	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
2/11/18	-44.56	178.48	137	SA2	3	40	DCM	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
2/11/18	-44.56	178.48	137	SA2	3	40	DCM	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	40	DCM	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	40	DCM	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	40	DCM	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
3/11/18	-44.57	178.68	150	SA2	4	40	DCM	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
5/11/18	-44.60	179.18	176	SA2	5	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
5/11/18	-44.60	179.18	176	SA2	5	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
5/11/18	-44.60	179.18	176	SA2	5	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
5/11/18	-44.60	179.18	176	SA2	5	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
6/11/18	-44.54	179.49	188	SA2	6	12	SUR	A	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
6/11/18	-44.54	179.49	188	SA2	6	12	SUR	B	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
6/11/18	-44.54	179.49	188	SA2	6	12	SUR	C	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
6/11/18	-44.54	179.49	188	SA2	6	12	SUR	D	"2000, 4000, 10000"		"2000, 4000, 10000"		1000
16/11/18	-45.56	179.52	324	SA3	11	12	SUR	A	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	12	SUR	B	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	12	SUR	C	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	12	SUR	D	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	70	DCM	A	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	70	DCM	B	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	70	DCM	C	"2000, 4000, 10000"		"2000, 4000"		1000
16/11/18	-45.56	179.52	324	SA3	11	70	DCM	D	"2000, 4000, 10000"		"2000, 4000"		1000
